Title,Type,Geography,Geography ISO,Frameworks,Responses,Instruments,Document Types,Natural Hazards,Keywords,Sectors,Events,Documents,Parent Legislation,Description
Law No. 19.940 modifying the General Electrical Services Law (LGSE) of 1982,legislative,Chile,CHL,"",Mitigation,Designing processes|Governance and planning,Law,"","Institutions / Administrative Arrangements, Energy Supply","Energy, Residential and Commercial",13/03/2004|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdVFKIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--eda0f3812d3a5b88ba067d80dcfc27a0590e1bac/f|,,"The law reformed the LGSE, changing several aspects of the energy generation market in Chile that affected all forms of energy generation, but included special provisions for Non-Conventional Renewable Energy sources (NCREs), defined as wind, hydropower installations up to 20MW, biomass, biogas, geothermal, solar and tidal energy. The reform opened up the spot market and guaranteed the right to be connected to the country's power grids to small generating plants, many of which fall into the NCRE category. This move increased commercial and generating opportunities for these small producers.<br />
<br />
In addition, the reform exempted projects using NCREs from paying transmission fees, using a differentiated scale—one for plants generating up to 9 MW and another for those generating between 9MW and 20MW. In addition to benefiting those sources, this exemption serves to recognise a positive externality, given their low impact on transmission grids and on invest-ments associated with their expansion."
Law No. 19.657 on Geothermal Energy and its Regulation by Decree 114,legislative,Chile,CHL,"",Mitigation,Designing processes|Governance and planning,Law,"","Institutions / Administrative Arrangements, Energy Supply",Energy,07/05/2013|Law passed,Decree|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdVVKIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--7426fbb02dbc470eb152de632dcd5e20195edd2e/f|es,,<div>This law established a special system for granting concessions for the exploration and development of geothermal energy. The Decree 114 then updated and simplified the procedure for granting concessions for geothermal energy development.</div>
Law 20.780 (tax reform implementing a green tax),legislative,Chile,CHL,"",Mitigation,Taxes|Incentives,Law,"","Carbon Pricing, Energy Supply",Energy,26/09/2014|Law passed||;24/02/2020|Law amended|Amended by law 21.210|,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaTBHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--9f5b4737d19220ab217631ece67e086398d3df3e/f|es;Link to amending law 21.210 |https://www.leychile.cl/Navegar?idNorma=1142667|es,,"<div>The law no 20.780 introduces in Art. 8 a green tax on fixed sources of pollutants, including CO2. The tax started to apply in 2017 and is directed to the industries with a thermal power generation greater than or equal to 50 MW.<br><br>Article 8. of this law was amended in February 2020 by law 21.210 as <a href=""https://www.leychile.cl/Navegar?idNorma=1067194&amp;idVersion=2023-01-01"">following</a> in order to set emissions thresholds and precisions for taxation.</div>"
National Action Plan for Sustainable Consumption and Production 2017-2022,executive,Chile,CHL,"",Mitigation,Designing processes|Governance and planning;Capacity-building - general|Capacity-building,Plan,"","Research And Development, Energy Supply, Energy Demand, Transportation","Economy-wide, Transportation",25/12/2017|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBallKIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--c0f13878c123c478427f86ab4a9e7627f3cb58ba/f|,,The National Action Plan for Sustainable Consumption and Production sets up the governmental strategic vision of how to drive Chile towards a low-carbon economy over the period 2017-2022.
Climate Change Mitigation Plan for the Energy Sector,executive,Chile,CHL,"","Adaptation, Mitigation",Capacity-building - general|Capacity-building,Plan,"","Energy Supply, Energy Demand","Energy, Transportation",01/12/2017|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbkVHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--99e3fe76d38de7660498474ac7dae55c90535dd8/f|,,"The Plan elaborates scenarios and establishes targets of specific reduction of greenhouse gases emissions within the energy sector. The Plan further promotes the incorporation of renewable energies in the country's energy matrix, and energy efficiency.<br />
<br />
The government also published a <a href=""http://www.precioalcarbonochile.cl/wp-content/uploads/2017/11/Lanzamiento-Consulta-Plan-de-Adaptación-2017-1.pdf"">draft adaptation plan for the energy sector.</a>"
Decree No. 52 creating the Permanent Presidential Advisory Committee on Climate Change,executive,Chile,CHL,"","Adaptation, Mitigation",Creating bodies and institutions|Governance and planning;Developing plans and strategies|Governance and planning,Decree,"","Adaptation, Institutions / Administrative Arrangements, Mitigation",Residential and Commercial,05/01/2018|Law passed,full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBakFGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--0f863261a54b3bcb9f61dd02ee2f00b3f6e05036/f|,,"This Decree establishes the Permanent Presidential Advisory Committee on Climate Change, which will have the mission of advising the Presidency of the Republic in all matters related to the identification and formulation of policies, plans, programs, measures and other activities related to climate change , as well as the fulfilment of Chile's international commitments, especially the Paris Climate Agreement, and in the elaboration and proposal of a national public policy on climate change."
Decree No. 87 creates the Advisory Council on Climate Change and Agriculture,executive,Chile,CHL,"","Adaptation, Mitigation",Creating bodies and institutions|Governance and planning,Decree,"","Adaptation, Mitigation, Lulucf","Agriculture, LULUCF",06/10/2008|Law passed,full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBakVGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--3c93c84d59312f51d4fcb793e52533f25bfc3f92/f|,,"This Decree establishes the Advisory Council on Climate Change and Agriculture, with the objective to support the definition of aspects and priorities for climate change adaptation programs in the agricultural and forestry sectors, as well as in the determination of mitigation measures that correspond.

The Council should take into account that climate change will have effects on the productivity of national agriculture, conditioning the geographical location of crops and their yields, which makes it necessary to initiate a program of adaptation of agriculture to climate change. Also, that the productive activities of these sectors generate greenhouse gas emissions, which can be reduced or compensated."
Decree No. 81 creating the National Advisory Commission for Agricultural Emergencies and Agroclimatic Risk Management,executive,Chile,CHL,"","Adaptation, Mitigation","",Decree,"","Adaptation, Lulucf",Agriculture,28/08/2008|Law passed,full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaklGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--bfc25168105c276dcaf0268342d3760be83aecc9/f|,,"This Decree regulates the creation, operation and purposes of the National Advisory Commission for Agricultural Emergencies and Agroclimatic Risk Management in the Ministry of Agriculture.The Commission must technically advise the Ministry in the formulation of a strategy for emergency management agricultural and climate risk, collaborate in the definition of the relevant lines of work and become the coordinating body of a a National System of Agricultural Emergencies and Climate Risk Management."
Decree No. 156 on the National Civil Protection Plan,executive,Chile,CHL,Drm/Drr,"Adaptation, Disaster Risk Management",Public goods - early warning systems|Direct investment;Capacity-building - general|Capacity-building,Decree,"","Adaptation, Institutions / Administrative Arrangements",LULUCF,12/03/2002|Law passed||,full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBak1GIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--da79a7fe7f02b9ebbf8b375a01605d10a76301ce/f|,,"<div>This Decree approves the ""National Civil Protection Plan"" and repeals the Supreme Decree of Interior No. 155 of 1977 which approved the National Emergency Plan, and Supreme Decree No. 509 of 1983. The new Plan incorporates preventive, mitigation, preparedness and early warning aspects, responding to the international commitments signed by Chile in the 'International Decade of Natural Disaster Reduction' and to the modernisation of the National Civil Protection System itself. The National Civil Protection Plan has as a general objective to have a multisectoral planning in the field of civil protection, of an indicative nature and for the development of permanent actions for the prevention and attention of emergencies and disasters in the country, from an integral vision of risk management.</div>"
Law No. 20.304 on floods and the monitoring of reservoirs,legislative,Chile,CHL,"",Adaptation,Designing processes|Governance and planning,Law,"","Adaptation, Water Management","Health, Water",25/12/2008|Law passed,full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaFFGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--cd32577de59622c581a84510c92186c7a37bcd32/f|,,"This Law regulates the operation of control reservoirs that, due to their regulatory capacity or their proximity to inhabited places, allow, in cases of imminent flooding of water flows, to avoid or mitigate the risks to life, health or Public and private goods. All reservoirs, as well as their respective operator, must be registered in the Public Inventory of Hydraulic Works belonging to the Public Water Cadastre. The Law defines in detail the obligations of operators."
Decree No. 74 creating the Interministerial Committee on Energy Efficiency,executive,Chile,CHL,"",Mitigation,Creating bodies and institutions|Governance and planning;Designing processes|Governance and planning,Decree,"","Institutions / Administrative Arrangements, Energy Supply",Energy,26/07/2012|Law passed,full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBalFGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--9ba28c866ef2d194a370b5c8ce5879f90c42e054/f|,,"This Decree creates the Interministerial Committee on Energy Efficiency, whose mission is to advise the President of the Republic on the promotion and coordinated implementation of sectoral plans and programs that contribute to increasing indicators of energy consumption reduction and compliance with the National Strategy of Energy in the public sector for the year 2020.

The Committee has the following main functions: advise the President on the coordinated formulation of public policies, plans, projects and programs aimed at the development of energy efficiency; propose joint actions with other public and / or private organisations, aimed at promoting the development of energy efficiency; and, report annually to the President the results of the evolution of the energy efficiency in the country.

This decree was <a href=""https://www.leychile.cl/Navegar?idNorma=1116403"">amended</a> in 2018."
Decree No. 134 approving Long Term Energy Planning Regulation,executive,Chile,CHL,"",Mitigation,Designing processes|Governance and planning,Decree,"","Energy Supply, Energy Demand",Energy,14/10/2016|Law passed,full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBalVGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--5f4312305d776e62798628a7a608a27312f8076f/f|,,"This Decree approves the ""Long-term energy planning regulation"" which establishes the conditions, characteristics, deadlines, stages and the procedure by which the long-term energy planning should be developed by the Ministry of Energy. Energy planning should include different energy scenarios of generation expansion and consumption in a planning horizon of at least thirty years. The document aims at fostering renewable solutions and energy efficiency."
Decree No. 336 on Energy Efficiency,executive,Chile,CHL,"",Mitigation,Creating bodies and institutions|Governance and planning;Designing processes|Governance and planning,Decree,"","Energy Supply, Energy Demand",Energy,14/12/2005|Law passed,full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBallGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--ab6246b0ebfa4650fd842615da327fff3e407bba/f|,,"This Decree creates the Commission for the Country Program on Energy Efficiency. The Commission's main mission is to advise the Ministries of State that have signed this Decree, in concrete actions, plans, policies and energy efficiency measures, as well as other activities related to the Program. The main objective is to ensure an energy use that improves the security of energy supply."
Climate Change Adaptation Plan for the Health Sector,executive,Chile,CHL,"",Adaptation,Designing processes|Governance and planning,Plan,"",Adaptation,Health,01/07/2016|Law passed,full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBamNGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--4148e5e97cdc57117d1de20ecccfb16c07303870/f|,,"The Adaptation Plan for the Health Sector aims to strengthen the country's capacity in the to respond to the challenge of climate change, identifying and implementing measures in the short, medium and long term, which will allow to reduce the negative consequences that this phenomenon will cause on the population's health and ensure the proper functioning of health services and networks, considering the new climatic conditions and the projected impacts.

The Plan identifies 8 lines of action and for each one it presents specific objectives and proposes adaptation measures."
Decree No. 1 approving Regulation of the Registry of Emissions and Transfers of Pollutants,executive,Chile,CHL,"",Mitigation,Capacity-building - general|Capacity-building,Decree,"","Industry, Mitigation, Waste","Health, Industry, Transportation, Waste",02/01/2013|Law passed;20/07/2017|Last amendment,full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBamdGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--ca23b2684f0cd122ce943b8cfd20614c818208b3/f|;Amendment - link to governmental website|http://www.retc.cl/se-publica-en-diario-oficial-la-modificacion-del-reglamento-retc/|,,"This Decree approves the Regulation of the Register of Emissions and Transfers of Pollutants, which constitutes a database accessible to the public, intended to capture, collect, systematise, conserve, analyse and disseminate information on emissions, waste and transfers of contaminants potentially harmful to health and the environment that are emitted to the environment, generated in industrial or non-industrial activities or transferred for recovery or disposal. According to law 20.780, the pollutants include carbon dioxide.

The decree was approved in 2017."
Exempt Decree No. 360 creating the Interministerial Technical Committee on Climate Change,executive,Chile,CHL,"","Adaptation, Mitigation",Creating bodies and institutions|Governance and planning;Designing processes|Governance and planning,Decree,"","Adaptation, Institutions / Administrative Arrangements, Mitigation","Agriculture, LULUCF",04/12/2017|Law passed,full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBamtGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--2a63aea90bde3c025098fd51d3c000e2daae8206/f|,,"This Decree creates the Intraministerial Technical Committee on Climate Change (CTICC) which aims to advise the Minister of Agriculture in the formulation of a ministerial strategy for strengthening the adaptation and mitigation of climate change in the agricultural and forestry sectors.

Additionally, the Committee should advise the Ministry on international negotiations on climate change, promote medium and long-term instruments to generate structural and organisational improvements in the agricultural and forestry sectors regarding climate change, and to incentivise the generation of information systems."
Energy Route 2018-2022,executive,Chile,CHL,"",Mitigation,Designing processes|Governance and planning;Capacity-building - general|Capacity-building,Plan,"","Energy Supply, Energy Demand",Energy,01/05/2018|Law passed||,full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBam9GIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--95110af60cd0bb3df1f080aa0e29963aa780ba6c/f|es,,"<div>The Energy route 2018-2020 presents a strategic and long-term perspective, with a country vision of where the country's energy policy should head. It was developed trough a participatory and decentralised work with a multidimensional approach, taking into account different stakeholders throughout Chile. The plan presents 7 lines of actions which include energy efficiency and low emissions energy generation.</div>"
Climate Change Adaptation Plan for the Agricultural and Forestry sectors,executive,Chile,CHL,Adaptation,Adaptation,Designing processes|Governance and planning;Capacity-building - general|Capacity-building,Plan,"","Adaptation, Redd+ And Lulucf",Transportation,01/10/2013|plan passed||,,,"<div>The Adaptation Plan for the Agricultural and Forestry sectors aims to strengthen the activities carried out by the Ministry through its services and organisations, which mostly have components of adaptation to climate change and identify those areas where there is still lack of knowledge and technology to move towards the implementation of adaptation activities, in order to intensify the research and development work in this area.</div>"
Climate Change Adaptation Plan for Biodiversity,executive,Chile,CHL,"",Adaptation,Developing plans and strategies|Governance and planning,Plan,"",Biodiversity,Environment,21/07/2014|Approved||,Full text|https://mma.gob.cl/wp-content/uploads/2015/02/Plan_Adaptacion_CC_Biodiversidad_2.pdf|es,,"<div>This document aims at protect Chile's biodiversity from the adverse effects of climate change, raise awareness, improve scientific knowledge and interminiserial coordination.&nbsp;</div>"
Law  Nº20.283 on Native Forest Recovery and Forest Promotion,executive,Chile,CHL,"","Adaptation, Mitigation",Standards and obligations|Regulation,Law,"","",LULUCF,25/12/2008|Approved||,Full text|https://www.conaf.cl/wp-content/files_mf/1368741650LibroLey_Bosque_NativoReglamentos.pdf|es,,"<div>This law aims at securing the&nbsp;protection, recovery and improvement of native forests, in order to ensure forest sustainability and meet environmental policy goals. It notably encourages reforestation efforts using native plants.</div>"
National Green Hydrogen Strategy 2020,executive,Chile,CHL,"",Mitigation, Subsidies|Incentives; Developing plans and strategies|Governance and planning,Strategy,"",Hydrogen,Energy,01/11/2020|Approved||,Link to full text|https://energia.gob.cl/sites/default/files/estrategia_nacional_de_hidrogeno_verde_-_chile.pdf|es,,<div>This document aims at fostering the production and use of green hydrogen in the country. It seeks in particular to advance local production for&nbsp;exportation between 2020 and 2025 and increase the country's market share after 2025.</div>
National Policy of Land Management (PNOT),executive,Chile,CHL,"","Adaptation, Disaster Risk Management, Mitigation", Knowledge generation|Capacity-building; Ecosystem restoration and nature based solutions|Direct investment;  Capacity-building - general|Capacity-building,Policy,"",Planning,"Adaptation, Disaster Risk Management (Drm), Economy-wide",05/07/2021|Approved||,Link to full text (PDF)|https://www.doe.cl/alerta/05072021/1971566|es,,"<div>This policy was prepared in 2019 and approved by a ministerial decree published in July 2021.&nbsp;<br><br>Objective 1.2 of the policy is to promote the occupation and development of the territory in a safe and resilient way that contributes to disaster risk reduction and adaptation to climate change.<br><br>Guideline 1.2.c states that management tools and mechanisms in land use planning that reduce disaster risk, increase resilience and consider adaptation to climate change by human settlements and strategic infrastructure must be considered.&nbsp;<br><br>Guideline 1.2.d commands to incorporate the functions of natural systems as tools for mitigating threats and adapting to climate change, in order to reduce the risk of disasters that may affect the lives and health of people, infrastructure, services, or the environment.<br><br>Guideline 3.1.d promotes public and private investment in all types of infrastructure, and the generation of knowledge that contributes to the sustainable use of critical natural resources, such as water, renewable energies and soils.</div>"
National Plan For Tackling Climate Change 2014-2020,executive,China,CHN,"",Adaptation,Research and development|Capacity-building;Monitoring and evaluation|Governance and planning; Capacity-building - general|Capacity-building; Knowledge sharing and dissemination|Capacity-building,Plan,"","Adaptation, Institutions / Administrative Arrangements, Research And Development, Energy Supply, Energy Demand, Redd+ And Lulucf","Energy, LULUCF, Transportation",05/11/2014|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbTRJIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--582aac36ad4e03740a7c431f3832860fb26cc47d/f|,,"The National Plan For Tackling Climate Change is a comprehensive government strategy that covers mitigation, adaptation, scientific research and public awareness. It includes chapters on 'Status and Prospects', 'Guidelines And Main Objectives', 'Controlling Greenhouse Gas Emissions', 'Adapting To The Impacts of Climate Change', 'Implementation Of Pilot Demonstration Projects', 'Improving The Regional Response To Climate Change', 'Incentives And Restraint Mechanisms', 'Strengthening Scientific And Technological Support', 'Capacity Building', 'Deepening International Exchanges And Cooperation' and 'Performance and Evaluation'.<br />
<br />
The plan's targets are: by 2020, to cut carbon emissions per unit of GDP by 40-45% from 2005 levels, to increase the percentage of non-fossil fuels in primary energy consumption to 15% and to increase the proportion of forest area and stock volume by 40m ha and 1.3m m3 respectively from a 2005 baseline."
Energy Development Strategy Action Plan (2014-2020),executive,China,CHN,"",Mitigation,Standards and obligations|Regulation;Developing plans and strategies|Governance and planning,"Plan, Strategy","","Energy Supply, Energy Demand, fossil fuels curbing measures, Limits on fossil fuels",Energy,19/11/2014|Law passed||,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZ2tHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--707bef6ee0465c9919b38a1724e40b2c1d382dfa/f|,,"<div>Published by the State Council, the Plan aims to reduce China's high energy consumption per unit GDP ratio through a set of measures and mandatory targets, promoting a more efficient, self-sufficient, green and innovative energy production and consumption.<br>&nbsp;<br>&nbsp;The targets include a cap on annual primary energy consumption set at 4.8bn tonnes of the standard coal equivalent until 2020, with a need to limit the annual growth rate of primary energy consumption to 3.5% for the next six years. The annual coal consumption should be held below 4.2bn tonnes until 2020 (16.3% more than the 3.6bn tonnes burned in 2013, according to the National Coal Association), with the main coal consumption reduction to be achieved in regions around Beijing, the Yangtze River Delta and the Pearl River Delta - the three biggest city clusters in China. The share of non-fossil fuels in the total primary energy mix is to rise to from 9.8% in 2013 to 15% by 2020, with an indicative 20% share by 2030. The share of natural gas is to rise to above 10%, while that of coal will be reduced below 62%. In addition, installed nuclear power capacity is to reach 58GW by 2020, with additional 30GW expected to be under construction in 2020. Installed capacity of hydro-, wind and solar power in 2020 is expected to reach 350GW, 200GW and 100GW, respectively. Energy self-sufficiency should reach around 85%.</div>"
The National Strategy for Climate Change Adaptation,executive,China,CHN,Adaptation,"Adaptation, Disaster Risk Management",Knowledge generation|Capacity-building;Building codes|Regulation;Zoning and spatial planning|Regulation;Designing processes|Governance and planning;Developing plans and strategies|Governance and planning,Strategy,"Floods, Droughts, Cyclones, Tsunamis, Storms, Hurricanes, Mudslides, Heat Waves And Heat Stress, Soil Erosion, Sea Level Rise, Changes In Average Precipitation, Cold Waves, Changes In Surface Water",Adaptation,"Agriculture, Water",01/11/2013|Law passed||,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdXNKIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--0247f14fe7ec67e14b10dce599bfff3764e95a4c/f|,,"<div>Reflecting China's vulnerability to climate change impacts, the National Development and Reform Commission (NDRC) published China's National Strategy for Climate Change Adaptation in November 2013.<br>&nbsp;<br>&nbsp;The strategy lays out clear guidelines and principles for climate change adaptation and proposes some specific adaptation goals. It outlines a wide range of measures to be implemented by 2020 in order to protect water resources, minimise soil erosion and strengthen disaster prevention, such as early-warning detection and information-sharing mechanisms at the national and provincial levels, ocean disaster monitoring system and coastal restoration. To reduce climate impacts in agriculture the Chinese government plans to develop new farming practices, including controlling plant-eating pests and improving crop adaptability.<br>&nbsp;<br>&nbsp;The plan also includes weather-based financial instruments such as catastrophe bonds and weather index-based insurance.</div>"
12th Five-Year Plan for the Development of National Economy and Society (2011-2015),executive,China,CHN,"","Adaptation, Mitigation",Designing processes|Governance and planning,Law,"","Adaptation, Institutions / Administrative Arrangements, Research And Development, Carbon Pricing, Energy Supply, Energy Demand, Redd+ And Lulucf, Transportation","Economy-wide, Energy, Industry, LULUCF, Transportation",12/03/2011|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdUlKIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--fb3c1e87f55fde4ac9b45400c616c0c971d1cacd/f|,,"The Five-Year Plan aims to create more socially inclusive and environmentally sustainable growth and boost domestic consumption that will begin to re-orientate the economy away from heavy industry and resource-intensive production towards a more consumption-based and resource-efficient economy.<br />
<br />
The plan's targets are to decrease the carbon intensity of GDP by 17% by 2015; to decrease the energy intensity of GDP by 16%; to increase the share of non-fossil fuel primary energy consumption to 11.4%; and to increase forest coverage by 21.6%."
Renewable Energy Act,legislative,China,CHN,"",Mitigation,Designing processes|Governance and planning;Capacity-building - general|Capacity-building,Law,"","Research And Development, Energy Supply","Energy, Transportation",01/01/2006|Law passed||;26/12/2009|Last amendment||,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdUVKIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--e01afcd0906a009f99060c7a25b26a83bad1bb12/f|;Notice 25/2021|http://zfxxgk.nea.gov.cn/2021-05/11/c_139958210.htm|zh,,"<div>This Act describes duties of the government, business and other users in renewable energy development and use. It includes measures and goals relating to mandatory grid connection, price management regulation, differentiated pricing, special funds and tax reliefs, and sets the goal to realise 15% of China's energy from renewable sources by 2020.<br>&nbsp;<br>&nbsp;Energy - supply-side policies: The Act requires the government to encourage and support the application of renewable energy in various areas.<br>&nbsp;<br>&nbsp;Research and development: The Act requires that the government budget establishes a renewable energy development fund.<br>&nbsp;<br>&nbsp;Monitoring arrangements: It requires that energy authorities of the State Council are responsible for organising and co-ordinating national surveys and management of renewable energy resources, and work with related departments to establish technical regulations for resource surveys. Relevant departments of the State Council, within their respective authorities, are responsible for related renewable energy resource surveys. The survey results will be summarised by the energy authority in the State Council.<br>&nbsp;<br>Energy authorities of the State Council must set middle- and long-term targets for the total volume of renewable energy at the national level, which shall be implemented and released to the pubic after being approved by the State Council. Notice 25/2021 determines the objectives for solar and wind in particular for the year 2021.<br><br>A <a href=""http://www.npc.gov.cn/npc/c30834/201912/2b7568de01944c33b9326c325dcd498f.shtml"">report </a>of the Congress' Law Enforcement Inspection Team of the Standing Committee inspecting the implementation of the law was published in December 2019. A draft amendment of the law was published in 2020.</div><div><br></div>"
Law on the Prevention and Control of Atmospheric Pollution,legislative,China,CHN,"",Mitigation,Standards and obligations|Regulation;Capacity-building - general|Capacity-building; Monitoring and evaluation|Governance and planning,Law,"","Institutions / Administrative Arrangements, Energy Supply, Transportation","Agriculture, Economy-wide, Energy, Health, Industry, Residential and Commercial, Transportation, Urban",25/12/1987|Law passed;29/08/2015|Last amendment;01/01/2016|Entry into force,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZ1lJIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--3b80bda5e08cf3f27842d549d8970103d3f0154e/f|,,"This law's purpose is ""protecting and improving the environment, preventing and controlling atmospheric pollution, safeguarding public health, advancing ecological civilization and promoting the sustainable development of economy and society"" (Art 1). It calls for comprehensive measures to be taken against the pollution ""caused by the burning of coal, industrial production, motor vehicles and vessels, dust as well as agricultural activities"" (Art 2.). The objective is to restrict various sources of atmospheric pollutants, including ""air pollutants and greenhouse gases, including particles, sulphur dioxide, nitrogen oxides, volatile organic compounds, and ammonia etc."" (Art 2.) and make information on atmospheric cleanliness more readily available to the public.<br />
<br />
The 2015 revisions provide that China should promote clean and efficient use of coal, obliging local governments to ban low-quality coal for residential use (Chapter IV, Section 1). Art 32 calls for ""measures to improve energy structure and popularize the production and utilization of clean energy; optimize the utilization of coal to be cleaner and more effective; and reduce the proportion of coal in primary energy consumption and the discharge of atmospheric pollutants during the production, utilization and transformation of coal"".<br />
<br />
The law provides for the Government to advocate low-carbon and eco-friendly transportation. ""The ownership of vehicles using petroleum fuels shall be controlled below an appropriate level in accordance with urban planning. Public transportation in urban areas shall be vigorously boosted to increase its proportion in overall transportation. The State shall adopt measures including fiscal and tax policy and government procurement to popularize motor vehicles and vessels and non-road mobile machineries that save energy, protect the environment and use new energy; to limit motor vehicles and vessels and non-road mobile machineries that feature high level oil consumption and emission; and to reduce the consumption of fossil fuels"" (Art 50). The law calls for establishment of a gasoline quality standard matched with the country's restriction requirements for major pollutants (Art 13), including sulfur, olefin, arenes and benzene.<br />
<br />
The law calls the relevant state environmental department to ""observe and simulate atmospheric conditions and use new technologies of artificial satellites, photogrammetric measurement and long-distance monitoring so as to analyze the sources and future trend of atmospheric pollution in these key areas. The department shall release such analyses to the public"" (Art 91).<br />
<br />
The law also provides greater environmental transparency to the public. It stipulates authorities of the State Council should evaluate provincial-level governments on their attainment of air quality improvement targets. The law also specifies other items to be disclosed publicly, including air quality standard, catalogue of major polluters, contact information of environmental authorities and supervisors, test results on the emissions of new vehicles, and sources and fluctuations of air pollution in important areas (Chapter III).<br />
<br />
Violations or non-compliance with the law may result in fines between 5,000RMB (USD$760) and 1,000,000 RMB (USD$ 152,000), based on severity of offense, type of entity, operation and recurrence of offense (Chapter VII).<br />
The law was originally adopted on September 5, 1987; amended according to the Decision on Revising the Law of the People's Republic of China on the Prevention and Control of Atmospheric Pollution on August 29, 1995; revised on April 29, 2000; and most recently revised again on August 29, 2015."
