Policy,Year,Country,Policy_Content,single_url_2,Scope,Document_Type,Economic_Sector,Energy_Types,Source
Western Region Megapolis Master Plan,2016,SRI LANKA,"The Western Megapolis is envisioned and conceptualized as the prudent Grand Strategy for achieving two decisive inter-dependent transformations required in Sri Lanka’s forward march to achieve the status of ‘A High Income Developed Country’, namely the spatial transformation of urban agglomerations in the Western Region of the country and the structural transformation of the National Economy as a whole. Western Megapolis has three broad national goals: -To address the issues resulting from the congestion pressures that have been brought about by ‘messy urbanization’. - To create the enabling environment for propelling the nation to the status of a high income developed country; - To optimally harness the benefits of knowledge-based innovation-driven global economic environment characterized by such developments as the ‘new industrial revolution’ and emergence of ‘smart cities’.",https://policy.asiapacificenergy.org/node/2745,Subnational,Plan/Strategy,"Energy, Power, Transport, Multi-Sector, Other","All, Coal, Power, Gas, Renewable, Solar, Wind, Other",APEP
National Action Plan for Haritha Lanka Programme,2009,SRI LANKA,"Sri Lanka has developed the National Action Plan for the Haritha Lanka Programme in the pursuit of sustainability. The programme is captured in ten mission statements. These are: Clean Air - Everywhere, Saving the Fauna, Flora and Ecosystems, Meeting the Challenges of Climate Change, Wise Use of the Coastal Belt and the Sea Around, Responsible Use of the Land Resources, Doing Away with the Dumps, Water for All and Always, Green Cities for Health and Prosperity, Greening the Industries, Knowledge for Right Choices. The programme includes short-, medium- and long- term targets spanning the period 2009 – 2016 and performance indicators.",https://policy.asiapacificenergy.org/node/2744,National,"Plan/Strategy, Programme","Energy, Power, Industry, Transport, Building, Multi-Sector, Other","All, Renewable, Bioenergy, Solar, Wave and Tidal, Wind, Other",APEP
National Climate Change Adaptation Strategy for Sri Lanka 2011 to 2016,2011,SRI LANKA,This document outlines a comprehensive National Climate Change Adaptation Strategy (NCCAS) which lays out a prioritized framework for action and investment for the 2011- 2016 period aimed at systematically moving Sri Lanka and its people towards a climate change resilient future. The Strategy addresses 5 Strategic Thrusts: 1. Mainstream Climate Change Adaptation into National Planning and Development 2. Enable Climate Resilient and Healthy Human Settlements 3. Minimize Climate Change Impacts on Food Security 4. Improve Climate Resilience of Key Economic Drivers 5. Safeguard Natural Resources and Biodiversity from Climate Change Impacts.,https://policy.asiapacificenergy.org/node/2743,National,Plan/Strategy,"Energy, Power, Industry, Transport, Multi-Sector, Other","All, Power, Renewable, Other",APEP
Ministry of Power and Renewable Energy Performance 2015 and Programmes 2016,2015,SRI LANKA,The document provides with an overview of the 2015 performance and the 2016 Programmes of the Ministry of Power & Renewable Energy; the Ceylon Electricity Board; the Sri Lanka Sustainable Energy Authority; the Lanka Electricity Company (Pvt) Ltd; the Lanka Electricity Company (Pvt) Ltd; the Sri lanka Atomic Energy Regulatory Council; the Lanka Coal Company (Pvt) Ltd; and the LTL Holding Company (Pvt) Ltd.,https://policy.asiapacificenergy.org/node/2742,National,"Programme, Government Report","Energy, Power","All, Coal, Power, Gas, Nuclear, Renewable, Bioenergy, Hydropower, Solar, Wind, Other",APEP
Code of Practice for Energy Efficient Buildings in Sri Lanka - 2008,2008,SRI LANKA,"This Code sets forth the requirements for design and/or retrofit of commercial buildings and industrial installations. It comprises of modules developed by experts in the relevant areas of expertise. Extensive stakeholder consultations were also carried out to obtain views of concerned factions and most of these concerns have been included herein. The extensive application of this code of practice will lead to reduced energy consumption and reduced electricity demand in the country, and will also support a cleaner environment through the reduction of wastes.",https://policy.asiapacificenergy.org/node/2741,National,Code,"Power, Building","All, Power, Renewable, Solar, Other",APEP
"Sri Lanka Electricity Act, No. 20 of 2009",2009,SRI LANKA,"This Act provides with the regulations of generation, transmission, supply and distributions, and use of electricity in Sri Lanka.",https://policy.asiapacificenergy.org/node/2740,National,Act,Power,Power,APEP
National Climate Change Policy of Sri Lanka,2012,SRI LANKA,"The Policy defines as its vision a future where climate change will have no adverse consequences on Sri Lanka. In particular, it has been developed to provide guidance and directions to respond to the challenge posed by climate change for all stakeholders. The policy focus is on environmentally-friendly economic development.",https://policy.asiapacificenergy.org/node/2739,National,Overarching Policy,"Energy, Transport, Multi-Sector, Other","All, Renewable, Other",APEP
"Fiji 2020 Agriculture Sector Policy Agenda: ""Modernizing Agriculture""",2014,FIJI,"Fiji 2020 Agriculture Sector Policy Agenda compliments the National Green Growth Framework recently launched in Fiji and represents the first inclusive plan for agriculture development of the country. Indeed, the country requires an inclusive development framework for its agriculture economy to move forward by addressing new domestic and global challenges in line with food security, climate change, feedstock for renewable energy, the utilization of water resources for aquaculture, agriculture export, and the rehabilitation of its traditional agriculture export industries, the sugarcane and the coconut industries. The Agenda provides new dimensions by opening up to global innovations for “climatesmart agriculture” that generate both adaptation and mitigation benefits. The policy also addresses the “sustainable intensification” that will increase production. The underlying objective to be reached by 2020 is: ""Establish a diversified and economically and environmentally sustainable agriculture economy in Fiji"".",https://policy.asiapacificenergy.org/node/2738,National,Overarching Policy,"Energy, Power, Multi-Sector","Renewable, Bioenergy",APEP
Fiji Tax & Customs Incentives 2013,2013,FIJI,This document is a brochure of all Tax incentives applied by the Fiji Revenue and Customs Authority (FRCA) form 2016 to 2018. These include bio-fuel duty exemptions and tax holidays.,https://policy.asiapacificenergy.org/node/2737,National,Other,"Power, Multi-Sector","Power, Renewable, Bioenergy",APEP
Fiji Tax & Customs Incentives 2014,2014,FIJI,This document is a brochure of all Tax incentives applied by the Fiji Revenue and Customs Authority (FRCA) form 2016 to 2018. These include bio-fuel duty exemptions and tax holidays.,https://policy.asiapacificenergy.org/node/2736,National,Other,"Energy, Power, Multi-Sector","Power, Renewable, Bioenergy",APEP
Fiji Tax & Customs Incentives 2015,2015,FIJI,This document is a brochure of all Tax incentives applied by the Fiji Revenue and Customs Authority (FRCA) form 2016 to 2018. These include bio-fuel duty exemptions and tax holidays.,https://policy.asiapacificenergy.org/node/2735,National,Other,"Energy, Power, Multi-Sector","Power, Renewable, Bioenergy",APEP
Fiji Tax & Customs Incentives 2016,2016,FIJI,This document is a brochure of all Tax incentives applied by the Fiji Revenue and Customs Authority (FRCA) form 2016 to 2018.,https://policy.asiapacificenergy.org/node/2734,National,Other,"Power, Multi-Sector","Power, Renewable, Bioenergy",APEP
Fiji REDD-Plus Policy: Reducing Emissions from Deforestation and Forest Degradation in Fiji,2009,FIJI,"The Fiji REDD+ policy aligns itself with the forest sector goal on sustainable forest management that means a balanced focus on all the seven thematic elements of sustainable forest management which includes: the extent of our forest cover; biological diversity; forest health and vitality; productive functions of forests; protective functions of forests; socio economic functions of forests; and its legal, policy and institutional framework. It also supports the vision in the Forest Policy broadly stated as: “Sustainable well being and prosperity from diversified Forests”. This is based on “The need to overcome the sector’s current focus on timber production and to widen the perspective to a balanced attention to the multiple economic, ecological and social values of Fiji’s forest resources” covering the various thematic areas of sustainable forest management. The Fiji REDD+ policy therefore poses an additional excellent opportunity for Fiji to conserve its forests and at the same time benefit from the continued environmental services from the standing forests, including other benefits through the conservation of its forest biodiversity. The Fiji REDD-Plus Programme aims to have Fiji achieve national REDD-Readiness by 2012 and provide a framework to facilitate access to all available financing instruments for the REDD sector.",https://policy.asiapacificenergy.org/node/2733,National,Overarching Policy,"Energy, Power, Multi-Sector, Other","Power, Renewable, Bioenergy, Other",APEP
Energy Conservation and Efficiency (ECE) Programme,2012,FIJI,"The Government of Fiji established the Energy Conservation and Efficiency (ECE) Programme in the effort to educate the public on the importance of using energy efficiently. This is undertaken through public awareness programmes, energy audits, use of energy efficient equipment and the adoption of standards and labeling for refrigerators and freezers.",https://policy.asiapacificenergy.org/node/2732,National,Programme,Energy,"All, Other",APEP
Minimum Energy Performance Standards and Labeling Program (MEPSL),2012,FIJI,The desire of the governments to improve the energy efficiency of appliances has led to the development of Minimum Energy Performance Standards (MEPS) and the associated energy Labeling Scheme. The Fiji Revenue and Customs Authority will be assisting the Department of Energy into achieving a smooth transition of the Program. The MEPS is part of the Energy Conservation and Efficiency (ECE) Programme that intends to educate the public on the importance of using energy efficiently.,https://policy.asiapacificenergy.org/node/2731,National,Programme,"Energy, Power","Power, Other",APEP
Public Notice on Enforcement of Minimum Energy Performance Standards and Labelling (MEPSL) for Freezers and Refrigerators,2014,FIJI,This is a Public Notice to inform that all refrigerating appliances imported into Fiji must comply with the Fiji/Australia/New Zealand Standards FS/AS/NZS 4474.1 and FS/AS/NZS 4474.2. All importers shall now register their imports and seek approval from Department of Energy prior to importing any household freezer and refrigerator into Fiji.,https://policy.asiapacificenergy.org/node/2730,National,"Standard, Other",Power,"Power, Other",APEP
Draft Strategic Development Plan 2015-2017 (SDP),2015,FIJI,This Draft Strategic Development Plan 2015 – 2017 (SDP) defines the framework and direction for the Ministry of Infrastructure and Transport (MoIT) in the next three years. The economic growth contribution would also include value addition through policy formulation and through the following sectors in terms of: i) Infrastructure - Sustainable Infrastructure development; ii) Transport - Dynamic Transport system; iii) Energy - Providing clean and affordable energy sources; iv) Meteorological - Providing technically advanced metrological and hydrological product and services; v) Water - Providing sustainable quality water and environmentally focus waste water service through service excellent.,https://policy.asiapacificenergy.org/node/2729,National,Plan/Strategy,Multi-Sector,"Power, Renewable, Solar, Other",APEP
Rural Electrification Policy 1993,1993,FIJI,The objective of the Rural Electrification Policy (1993) is to provide 24 hour continuous electricity to all potential consumers in Fiji. The Rural Electrification Unit is the organisation created to implement the policy.,https://policy.asiapacificenergy.org/node/2728,National,Overarching Policy,Power,"Power, Renewable, Hydropower",APEP
"Water Resources Act, 2049 (1992)",1993,NEPAL,"This Act aims to make arrangements for the rational utilization, conservation, management and development of the water resources that are available in the Nepal in the form of surface water, underground water or in whatsoever form. According to this Act, the use of water for hydroelectricity purposes should be given the fourth place under priority order. Hydroelectricity use should follow Drinking water and domestic users; Irrigation; Agricultural uses such as animal husbandry and fisheries.",https://policy.asiapacificenergy.org/node/2727,National,Act,"Power, Multi-Sector","Power, Renewable, Hydropower",APEP
"Irrigation Policy, 2060 (2003)",2003,NEPAL,"The Nepali irrigation Strategy aims to build an effective irrigation system. Indeed, there is need to focus on making optimal use of available physical and institutional infrastructures for the expansion of irrigated area round the year. This calls for coordinated and concrete efforts of all the stakeholders in the process of planning of the utilization of water resources with due priority to the multi purpose projects in the irrigation sector. The policy encourages the uses of water reservoirs and other irrigation systems for electricity generation purposes.",https://policy.asiapacificenergy.org/node/2726,National,Overarching Policy,"Power, Multi-Sector","Power, Renewable, Hydropower",APEP
Water Resources Strategy,2002,NEPAL,"The Nepal Water Resources Strategy (WRS) targets the reconciliation of a range of problems and constraints to sustainable water resource development, including those related to government policies, financial and human resources, institutions and actions. The goal of the Strategy is to meet the country's water supply needs and achieving long-term sustainability. In order to achieve this goal, the Strategy will provide a systematic framework for water resources development and identify action plans to avoid and resolve conflicts, and achieve Nepal’s water-related development objectives. The Strategy is divided into three phases: Short-term (5-year) Purpose: Implementation of the comprehensive Water Resources Strategy. Medium-term (15-year) Purpose: The Water Resources Strategy is operationalized to provide substantial benefits to people for basic needs fulfillment as well as other increased benefits related to sustainable water use. Long-term (25-year) Purpose: Benefits from water resources are maximized in Nepal in a sustainable manner.",https://policy.asiapacificenergy.org/node/2725,National,Plan/Strategy,"Power, Multi-Sector","Power, Renewable, Hydropower",APEP
National Water Plan,2005,NEPAL,"The Water and Energy Commission Secretariat (WECS) started formulating National Water Plan (NWP) in 2002, which was approved by HMGN in September 2005. The Plan serves to implement the activities identified by the Water Resources Strategy. The NWP recognizes the broad objectives of the WRS and lays down short-, medium- and long-term action plans for the water resources sector, including investments and human resource development. Through this Plan, the Government aims to address environmental concerns reflected by the incorporation of the Environmental Management Plan in the document. This Environmental Management Plan will contribute to maximizing positive impact and minimizing or mitigating adverse impact in line with the environment sustainability concerns.",https://policy.asiapacificenergy.org/node/2724,National,Plan/Strategy,"Power, Multi-Sector","Power, Renewable, Hydropower",APEP
Ulaanbataar 2020 Master Plan and Development Approaches for 2030,2014,MONGOLIA,This Masterplan aims to develop Ulaanbataar as the capital city of Mongolia in order to allow it to develop while taking into consideration social and environmental concerns.,https://policy.asiapacificenergy.org/node/2723,Subnational,Plan/Strategy,"Energy, Power, Transport, Building, Multi-Sector, Other","Power, Renewable, Hydropower, Wind, Other",APEP
Enhancing Policies and Practices for Ger Area Development in Ulaanbaatar,2010,MONGOLIA,"Ulaanbaatar city strives to become a well-developed capital city, but as of today more than 60 percent of UB population still lives in peri-urban informal settlements, ger areas, which lack modern infrastructure services, including heating and electricity. This report provides an analytical framework to assess the viability of various future development scenarios of the city. It offers costs and benefit analyses of the choices and tradeoffs relating to housing and urban services.",https://policy.asiapacificenergy.org/node/2722,Subnational,Government Report,"Energy, Power, Building, Multi-Sector, Other","Power, Other",APEP
National Action Programme on Climate Change (NAPCC),2011,MONGOLIA,"The implementation of the NAPCC to 2021 is aimed to help Mongolia create the capacity to adapt to climate change and establish a foundation for green economic growth and development. The goals of the program include to ensure environmental sustainability, to develop socioeconomic sectors adapted to climate change, to reduce of vulnerabilities and risks, and to mitigate GHG emissions as well as to promote economic effectiveness and efficiency and implementation of ‘green growth’ policies. The National Action Program on Climate Change will be implemented in two phases over the period from 2011 to 2021. In the first phase (2011-2016), national mitigation and adaptation capacity will be strengthened; legal environment, structure, institutional and management system will be set-up; and community and public awareness and participation in climate change activities will be improved. In the second phase (2017-2021), climate change adaptation measures will be implemented and GHG mitigation actions will commence.",https://policy.asiapacificenergy.org/node/2721,National,Programme,"Energy, Power, Multi-Sector","Power, Renewable, Geothermal, Solar, Other",APEP
Law of Mongolia of 2015 on Energy Conservation,2015,MONGOLIA,"This Law serves to provide for the efficient use of energy and its conservation and for matters connected therewith or incidental thereto. It deals, among others, with powers given to the States Authorities; with the rights and obligations of energy consumers; and with energy conservation services.",https://policy.asiapacificenergy.org/node/2720,National,Law,Energy,"All, Other",APEP
Action Plan of the Government of Mongolia 2008-2012 (Resolution of the Parliament No. 35 of 2008),2008,MONGOLIA,"The Action Programme is focused on the economic development of the country. In particular, the policy lists the following objectives: The Action Plan of the Government has the following main objectives: speed up the development of the mining sector, renew its legal environment, turn strategic and large mining deposits into economic circulation and grant parts of the revenue generated by mining sector to citizens; develop and implement Mongolia’s industrial program, plan and develop miningbased industry, small and medium enterprises based on local raw materials; fully cover domestic needs in agricultural products, in particular, meat, milk, flour, potato and vegetable; create a condition where every citizen could be healthy, educated, employed and able to have income and pay special attention to the training of professional workers; ensure transparency, openness, speedy and fair treatment in service delivery and accountability in public administration and strengthen mutual trust between the state and citizens.",https://policy.asiapacificenergy.org/node/2718,National,"Plan/Strategy, Other","Energy, Power, Multi-Sector","All, Coal, Power, Gas, Nuclear, Solar, Wind",APEP
Government Platform 2012-2016,2012,MONGOLIA,"The Programme is aimed to reform all social and economic sectors of the country in order to achieve development and democracy. The Programme addresses various sectors including the mining sector, the tourism sector, technology, employment, social security policy, and environment. The final objective is to enable every Mongolian to his/her legitimate rights to have a job, earn an income, be educated, be healthy, be free and live in a safe environment.",https://policy.asiapacificenergy.org/node/2717,National,Plan/Strategy,"Energy, Power, Multi-Sector","All, Oil, Power, Gas, Renewable, Other",APEP
Mongolia's Agenda 21,1998,MONGOLIA,"Mongolia's Agenda 21 (MAP 21) is Mongolia's national response to its global commitments. The document seeks to set the national policy direction so to achieve harmony between the mutually supportive building blocks of economic growth, the well being of Mongolians and the sustainable utilization of natural resources. It offers opportunities for addressing in a coordinated manner specific natural resource issues related to such diverse fields as energy, mining, and deforestation.",https://policy.asiapacificenergy.org/node/2714,National,Plan/Strategy,"Energy, Power, Multi-Sector","Power, Renewable, Hydropower, Solar, Wind, Other",APEP
"Mongolia's Sustainable Development Agenda: Progresses, Bottlenecks and Vision for the Future",2012,MONGOLIA,"The current assessment report was prepared on the basis of the 2002, 2006 and 2010 assessment reports on the implementation of MAP 21, annual reports of the implementation of Government action programmes and local level reports on achievements of the plans which were integrated into National Programme for Sustainable Development developed in 2011. The report has been prepared with four themes: (à) biodiversity, ecosystems and sustainable tourism, (b) sustainable energy, (c) infrastructure and urban development, and (d) sustainable agriculture.",https://policy.asiapacificenergy.org/node/2713,"National, Bilateral",Government Report,"Energy, Power, Industry, Transport, Multi-Sector, Other","All, Coal, Power, Gas, Renewable, Hydropower, Solar, Wind, Other",APEP
Millennium Development Goals-based Comprehensive National Development Strategy of Mongolia,2008,MONGOLIA,"The Millennium Development Goals (MDGs)-based Comprehensive National Development Strategy of Mongolia defines the policy direction for the next fourteen years and it is aimed at promoting human development in Mongolia. It provides with the national direction in terms of energy development priorities and actions. The Strategy is divided into two Phases: first, to achieve the Millennium Development Goals and intensive development of its economy in 2007-2015, and second, to make a transition to knowledge-based economy in 2016-2021.",https://policy.asiapacificenergy.org/node/2712,National,Plan/Strategy,"Energy, Power, Transport, Building, Multi-Sector, Other","All, Coal, Power, Gas, Nuclear, Renewable, Hydropower, Solar, Other",APEP
Program on Integrated Power System of Mongolia (Resolution of the State Ikh Hural of Mongolia No. 10 of 2007),2007,MONGOLIA,"The Program on Integrated Power System of Mongolia aims to form the Integrated Power System of Mongolia (IPSM). The IPSM is looking to enhance the reliability of power supply and secure the economic development of Mongolia. It is also targeted to improve efficiency and loss reduction of energy resources, as well as their export in line with the socio-economic development of the country. In particular, the Government intends to provide all soums and settlements with reliable and stable power through a three-phased implementation approach. The first phase ended in 2012 and was aimed at enhancing the provision of grid-based and renewable energy sources to all soums. The current phase, ending in 2022, is targeted to build new power generating sources and to integrate the transmission lines of the Central Energy System, the Eastern Energy System, and the Western Energy System. The last phase, from 2022 to 2050, will create a high voltage integrated power transmission line.",https://policy.asiapacificenergy.org/node/2711,National,"Programme, Other",Power,"Power, Nuclear, Renewable, Hydropower, Solar, Other",APEP
Sustainable Development Goals Status and Roadmap: 2016-2030,2017,NEPAL,"The Report assesses the national situation by each SDG from national perspectives, examines their relevance in the national context and provides inputs for national planning, dialogue, and shows a pathway for implementation. Further, this report is expected to guide Nepal in operationalizing the SDGs at all levels national, regional and local. It contains goal-wise indicators and their quantitative benchmarks. The document provides with a general introduction, followed by an overview of MDG Targets and Achievements; the Current Status of SDG Targets, Policies and Institutions; Issues and Challenges in Implementing the SDGs and Comments and Recommendations on Major SDGs.",https://policy.asiapacificenergy.org/node/2710,National,"Plan/Strategy, Government Report","Energy, Power, Industry, Transport, Multi-Sector, Other","All, Power, Renewable, Hydropower, Solar, Other",APEP
Nepal Biodiversity Strategy and Action Plan 2014-2020,2014,NEPAL,The National Biodiversity Strategies and Action Plans (NBSAPs) are the principal instruments for implementing the Convention on Biological Diversity at the national level (Article 6). The Convention requires countries to prepare a national biodiversity strategy (or equivalent instrument) and to ensure that this strategy is mainstreamed into the planning and activities of all those sectors whose activities can have an impact (positive and negative) on biodiversity.,https://policy.asiapacificenergy.org/node/2703,National,Plan/Strategy,"Energy, Power, Multi-Sector, Other","Power, Renewable, Bioenergy, Hydropower, Solar",APEP
Forest Sector Gender and Social Inclusion Strategy,2013,NEPAL,"Ministry of Forest and Soil Conservation (MoFSC) has adopted a strategy to contribute significantly to the following pillars related with gender and social inclusion (GSI): - Social sector; - Targeted program and local development; -Good governance, development administration and human rights.",https://policy.asiapacificenergy.org/node/2702,National,Plan/Strategy,"Energy, Multi-Sector, Other","All, Renewable, Other",APEP
National Adaptation Programme of Action (NAPA) to Climate Change,2010,NEPAL,"NAPA is a strategic tool to assess climatic vulnerability, and systematically respond to climate change adaptation issues by developing appropriate adaptation measures. The Nepal NAPA report is structured according to decision 29/CP.7 and the guidance and annotated guidelines developed by the Least Developed Countries' Expert Group (LEG). The document contains a discussion of the national setting, the Nepal adaptation programme framework, NAPA preparation processes and the methods and criteria used in prioritizing the proposed interventions, identification of key adaptation needs, lists of priority adaptation actions, and finally conclusions. Out of about 250 adaptation options proposed by the Thematic Working Groups (TWG), nine integrated projects have been identified as the urgent and immediate national adaptation priority.",https://policy.asiapacificenergy.org/node/2701,National,"Plan/Strategy, Programme","Multi-Sector, Other","Renewable, Bioenergy",APEP
"Climate Change Policy, 2067 (2011)",2011,NEPAL,"This document addresses the current climate change policy of the Government of Nepal. It responds to the need of a specific policy to face the challenges and solve the problems the country has to deal with. The vision is a country spared from the adverse impacts of climate change, by considering climate justice, through the pursuit of environmental conservation, human development, and sustainable development--all contributing toward a prosperous society.",https://policy.asiapacificenergy.org/node/2700,National,Overarching Policy,"Energy, Power, Multi-Sector, Other","Power, Renewable, Bioenergy, Hydropower, Other",APEP
Nepal Energy Efficiency Programme (NEEP),2014,NEPAL,"Nepal Energy Efficiency Programme (NEEP) is being implemented to promote and realize energy efficiency in Nepal since 2010. The Nepali- German programme NEEP is implemented by the Ministry of Energy, Government of Nepal with technical assistance provided by the Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ), acting on behalf of the German Federal Ministry for Economic Cooperation and Development (BMZ). After completing its first phase in June 2014, NEEP continues to support improving the efficiency use of energy in Nepal in its second phase from July 2014 to June 2017. The programme assists with the introduction of market based energy efficiency services for the private and public sector. It also backs the development and introduction of performance for biomass based improved cooking stoves for rural households. Moreover, it provides direct advice and expertise to the government for the establishment of policy and institutional framework to foster energy efficiency in the country.",https://policy.asiapacificenergy.org/node/2699,National,Programme,"Energy, Power","All, Power, Renewable, Hydropower, Other",APEP
"Nepal Interim Benchmark for Solid Biomass Cookstoves (NIBC, 2016)",2016,NEPAL,The Benchmark is applicable for all the solid biomass cookstoves disseminated under the government subsidy policy. It addresses: Testing Protocol/methods; Minimum requirements for testing facilities; Minimum technical standard for performance of solid biomass cookstoves.,https://policy.asiapacificenergy.org/node/2698,National,Other,Energy,"Gas, Renewable, Bioenergy, Other",APEP
Main Directions of the State Policy in Energy Sector of Georgia (2007-2015),2007,GEORGIA,"This policy was released by the Parliament of Georgia in December 2007. Through this document the country sets the objectives pursued in the energy sector. In particular, the country is looking to raise its energy security, which serves as a tool for ensuring national interests through secure supply of various energy products under acceptable quantity, quality and price. The aim is to develop a long-term comprehensive state vision, which will later become the basis for the development of short, medium and long term strategies in the energy sector.",https://policy.asiapacificenergy.org/node/2697,National,Overarching Policy,Energy,"All, Other",APEP
Niue National Biodiversity Strategy and Action Plan,2015,NIUE,The policy offers a comprehensive biodiversity strategy for the country. It analysis current biodiversity challenges and Government policy. It provides for a strategy to cope with climate change in terms of mitigation to reduce the national emissions also through energy efficiency and renewable energy measures.,https://policy.asiapacificenergy.org/node/2696,National,Plan/Strategy,"Energy, Power, Industry, Transport, Building, Multi-Sector, Other","All, Oil, Power, Gas, Renewable, Bioenergy, Solar, Wind, Other",APEP
Niue Strategic Energy Road Map (NiSERM) 2015–2025,2015,NIUE,"The Niue Strategic Energy Road Map 2015–2025 (NiSERM) builds on the 2005 Niue National Energy Policy and the Niue National Strategic Plan (NNSP) 2014–2019, and is aligned to current national, regional and international emerging issues relating to the energy sector. This Road Map 2015–2025 is the government’s effort, at the national level, to work with its national and regional partners and the global community to unlock the development potential of Niue and to contribute to addressing the challenges of climate change. This roadmap represents a whole-of-government approach to addressing the energy security challenges of Niue which looks at the energy sector as a whole – electricity, renewable energy, energy efficiency and petroleum – and is supported by development partners for its implementation.",https://policy.asiapacificenergy.org/node/2695,National,Plan/Strategy,Energy,"All, Renewable, Other",APEP
Outer Islands Renewable Project,2014,TONGA,"The Tonga Outer Island Renewable Energy Project (OIREP) will construct Solar Photovoltaic (PV) power plants on 8 outer islands. The “on-grid” portion will be allocated to Ha’apai and ‘Eua, while the “off-grid” portion will incorporate ‘Uiha, Nomuka, Ha’ano, Ha’afeva, as well as Niuatoputapu and Niuafo’ou. The main objectives of this project are to help reduce the Kingdom’s heavy reliance on imported fossil fuels for power generation while also increasing electricity accessibility for new users. The total installed capacity will be 1.3MWp.",https://policy.asiapacificenergy.org/node/2693,Subnational,"Programme, Other","Energy, Power","Power, Renewable, Solar",APEP
Oil Plan 2015 – 2036,2015,THAILAND,"The Ministry of Energy has set a policy and National Energy Plan called the Thailand Integrated Energy Blueprint (TIEB). The TIEB consists of the Power Development Plan; the Energy Conservation Development Plan, the Alternative Energy Development Plan, the Gas Management Plan and finally the Oil Plan. Oil constitutes a big portion of total energy consumption and the fuel demand is constantly increasing. The oil management Plan 2015 -2036 will be a long-term plan to support fuel management in line with the Energy Conservation Plan and the Alternative Energy Development Plan, and will serve as a management framework of the future fuel mix. The plan will focus on the management of fuel in the transportation sector.",https://policy.asiapacificenergy.org/node/2692,National,Plan/Strategy,"Energy, Power","Oil, Power, Other",APEP
Alternative Energy Development Plan: AEDP 2015,2015,THAILAND,"The Ministry of Energy has developed the Thailand Integrated Energy Blueprint (TIEB). In the TIEB, Ministry of Energy has reviewed five energy master plans during the year 2015-2036 consistent with the national economic and social development plan. The five master plans are: The Power Development Plan, The Energy Efficiency Development Plan, The Alternative Energy development Plan, The Oil Development Plan and The Gas Development Plan. The Alternative Energy Development Plan-AEDP2015 was developed and focused on promoting energy production within the full potential of domestic renewable energy resources. It aims to develop appropriate renewable energy production to benefit the social and environmental dimensions of the society. The Plan deals with the following aspects: Renewable Energy Development Status; Development of renewable energy targets; Strategies to promote the development of renewable energy; Expected results.",https://policy.asiapacificenergy.org/node/2691,National,Plan/Strategy,"Energy, Power, Industry, Transport, Building, Multi-Sector, Other","Power, Renewable, Bioenergy, Geothermal, Hydropower, Solar, Wind, Other",APEP
Eleventh National Economic and Social Development Plan (2012-2016),2012,THAILAND,"This Plan was drafted under the principle of a ""Sufficiency Economy"", whose heart is “human development” toward well-being based on sufficiency, moderation, reasonableness, and resilience. These principles are considered crucial factors to achieve sustainable development. Building the Thai society’s resilience regarding important development issues under the Eleventh plan includes the following: 1. Human and social development toward a quality society. 2. Restructuring the economy toward inclusive growth. 3. Management of natural resources and the environment toward sustainability.",https://policy.asiapacificenergy.org/node/2690,National,Plan/Strategy,"Energy, Power, Transport, Multi-Sector","All, Power, Renewable, Bioenergy, Other",APEP
Tonga Climate Change Policy: A Resilient Tonga by 2035,2016,TONGA,"This revised climate change policy focus towards building a Resilient Tonga by 2035 to encompass an integrated approach to adaptation, disaster risk reduction, and mitigation. All relevant sector policies and plans, as well as community development plans and island strategic development plans, will be aligned with this policy and the revised Joint National Action Plan on Climate Change and Disaster Risk Management (JNAP 2). The 2015 INDC is consistent with this policy. The purpose of the Tonga Climate Change Policy is to provide a clear vision, goal, and objectives to direct responses to climate change and disaster risk reduction over the next five years",https://policy.asiapacificenergy.org/node/2689,National,Overarching Policy,"Energy, Transport, Multi-Sector, Other","Renewable, Bioenergy, Solar, Other",APEP
Tonga Strategic Development Framework 2015-2025 (TSDFII),2015,TONGA,"SDF II has been prepared after wide consultations with communities, the private sector, community social organisations and development partners. It sets out the broad framework for development over the next 10 years. The framework consists of the national impact, 7+1 National Outcomes and twenty-nine Organisational Outcomes that will guide the development of the Kingdom over the period to 2025.",https://policy.asiapacificenergy.org/node/2688,National,Plan/Strategy,"Energy, Power, Multi-Sector","All, Oil, Power, Renewable, Solar, Other",APEP
Tonga Climate Change Policy (2006),2006,TONGA,"Tonga is extremely vulnerable to the impacts of climate change. Historically, the focus by government on sustained economic growth has been at the expense of the physical environment and environmental priorities.This policy will be a major step forward in addressing the impacts of climate change, climate variability and sea level rise in the Kingdom.",https://policy.asiapacificenergy.org/node/2687,National,Overarching Policy,"Multi-Sector, Other","All, Other",APEP
