Policy,Year,Keyword,Policy_Content,URL,Type,Source
Wash. Rev. Code Ann. § 80.80.030, 2007,United States,"Required the Governor to develop policy recommendations on methods to meet greenhouse gas reduction goals, including carbon capture and storage.",https://cdrlaw.org/resources/wash-rev-code-ann-%c2%a7-80-80-030/,Enacted Legislation,CDR_CCUS
Wash. Rev. Code Ann. § 80.80.040, 2007,United States,"Institutes fossil fueled generating plant emissions performance standard of 1,100 lbs CO2/MWh that may be met in part through carbon capture and storage, including geologic sequestration.",https://cdrlaw.org/resources/wash-rev-code-ann-%c2%a7-80-80-040/,Enacted Legislation,CDR_CCUS
Carbon Capture and Storage: legal issues, 2006,"Kyoto Protocol,London Convention/London Protocol,UNFCCC","This opinion piece argues that CCS regulatory frameworks need to be consistent with international law where transboundary impacts are possible, transboundary transportation is involved, or offshore storage activities are contemplated.",https://cdrlaw.org/resources/carbon-capture-and-storage-legal-issues/,News/Commentary,CDR_CCUS
Colo. Rev.Stat. § 40-2-123, 2006,United States,,https://cdrlaw.org/resources/colo-rev-stat-%c2%a7-40-2-123-west-2006-amended-2017/,Enacted Legislation,CDR_CCUS
Colo. Rev. Stat. § 25-1-1303, 2006,United States,,https://cdrlaw.org/resources/colo-rev-stat-%c2%a7-25-1-1303-west-2006/,Enacted Legislation,CDR_CCUS
N.Y. Gen. Mun. L. § 959-b, 2006,United States,,https://cdrlaw.org/resources/n-y-gen-mun-l-%c2%a7-959-b/,Enacted Legislation,CDR_CCUS
26 USC §48A, 2005,United States,"26 USC §48A, the Qualifying Advanced Coal Project Credit, includes investment tax credits aimed at reducing emissions by incentivizing efficiency upgrades at coal-fired power plants. The credit amount is 20% for integrated gasification combined cycle (IGCC) projects for a total of $800 million and and 15% for other advanced coal-based projects that produce electricity for a total of $500 million.",https://cdrlaw.org/resources/26-usc-%c2%a748a/,Enacted Legislation,CDR_CCUS
26 USC §48B, 2005,United States,,https://cdrlaw.org/resources/26-usc-%c2%a748b/,Enacted Legislation,CDR_CCUS
Wash. Rev. Code Ann. § 80.70.010 et seq., 2004,United States,,https://cdrlaw.org/resources/wash-rev-code-ann-%c2%a7-80-70-010-et-seq/,Enacted Legislation,CDR_CCUS
W. Va. Code Ann. § 18B-1B-12, 2004,United States,,https://cdrlaw.org/resources/w-va-code-ann-%c2%a7-18b-1b-12/,Enacted Legislation,CDR_CCUS
Wi. Admin. Code § NR.437.01 et seq., 2002,United States,"Implementing regulations for Wi. Stat. Ann. § 285.78 that creates reates a registry for persons to record voluntary GHG emissions reductions, through either carbon sequestration or energy efficiency measures, to show compliance with emission limits.",https://cdrlaw.org/resources/wi-admin-code-%c2%a7-nr-437-01-et-seq/,Regulation,CDR_CCUS
Clean Coal Power Initiative, 2002,United States,"The Clean Coal Power Initiative (CCPI), managed by the U.S. Department of Energy (DOE), is a cost-shared partnership between the government and industry to develop and demonstrate advanced coal-based power generation technologies at the commercial scale. The CCPI was authorized to distribute $200 million for each fiscal year between 2006 and 2014 to support “clean” coal projects. The third round of funding under this program included several CCS projects. CCPI demonstration projects must meet technical requirements set forth in the Energy Policy Act of 2005.",https://cdrlaw.org/resources/clean-coal-power-initiative/,Policy Proposal,CDR_CCUS
415 Ill. Comp. Stat. Ann. 5/9.10, 2001,United States,,https://cdrlaw.org/resources/415-ill-comp-stat-ann-5-9-10/,Enacted Legislation,CDR_CCUS
Wi. Stat. Ann. § 285.78, 1999,United States,,https://cdrlaw.org/resources/wi-stat-ann-%c2%a7-285-78/,Enacted Legislation,CDR_CCUS
N.D. Cent. Code § 57-06-17.1, 1991,United States,,https://cdrlaw.org/resources/n-d-cent-code-%c2%a7-57-06-17-1/,Enacted Legislation,CDR_CCUS
Miss. Code Ann. § 11-27-47, 1984,"Enhanced Oil Recovery,United States",,https://cdrlaw.org/resources/miss-code-ann-%c2%a7-11-27-47/,Enacted Legislation,CDR_CCUS
Congressional Testimony of Ernest J. Moniz, 2020,United States,"This testimony before the U.S. Senate Committee on Energy and Natural Resources hearing to examine the challenges and opportunities for large-scale carbon management discusses the role of carbon dioxide removal (CDR) in addressing climate change, and the federal investment in Research, Development and Demonstration (RD&D) needed to enable deployment of CDR on a material scale.",https://cdrlaw.org/resources/congressional-testimony-of-ernest-j-moniz/,Hearings and Testimony,CDR_CCUS
S. 2475 – Energy Sector Innovation Credit Act of 2021, 2021,United States,"This bill would establish a flexible tax credit for carbon capture equipment investors and producers. The credit would be available to direct air capture facilities that meet an annual carbon capture requirement of 5,000 metric tons. The investment tax credit for DAC would be eligible to stack with a 45Q credit for non-EOR geologic storage projects. The legislation intends to phase out subsidy support for these technologies as they scale their physical and market impact.",https://cdrlaw.org/resources/s-2475-energy-sector-innovation-credit-act-of-2021/,Proposed Legislation,CDR_CCUS
The U.S. Internal Revenue Service and the U.S. Treasury Department proposed regulations (REG-112339-19), 2020,Enhanced Oil Recovery,,https://cdrlaw.org/resources/the-u-s-internal-revenue-service-irs-and-the-u-s-treasury-department-proposed-regulations-reg-112339-19/,Regulation,CDR_CCUS
Future of Carbon Capture Looks Bright After Treasury Proposes Long-Awaited Regulations, 2020,Enhanced Oil Recovery,Law firm commentary on the proposed Treasury Department regulations addressing many remaining issues applicable to the tax credit for CCS under Section 45Q.Key Points:,https://cdrlaw.org/resources/future-of-carbon-capture-looks-bright-after-treasury-proposes-long-awaited-regulations/,News/Commentary,CDR_CCUS
Royal Dutch Shell Pledge, 2020,,Royal Dutch Shell plans to offset its own emissions by trapping as much carbon as its business operations cause through new carbon capture technologies or through nature-based solutions such as forestation.,https://cdrlaw.org/resources/what-is-shells-net-carbon-footprint-ambition/,Declaration,CDR_CCUS
Consumers Energy Pledge, 2020,,"Consumers Energy announced a goal to achieve net-zero carbon emissions by 2040, in part using strategies such as carbon capture and sequestration and large-scale tree planting.",https://cdrlaw.org/resources/consumers-energy-pledge/,Declaration,CDR_CCUS
Full Committee Hearing to Examine Development and Deployment of Large-Scale Carbon Dioxide Management Technologies, 2020,United States,"Archived webcast of the U.S. Senate Committee on Energy and Natural Resources hearing to examine the development and deployment of large-scale carbon dioxide management technologies in the United States, including technological and natural carbon removal, carbon utilization, and carbon storage.",https://cdrlaw.org/resources/full-committee-hearing-to-examine-development-and-deployment-of-large-scale-carbon-dioxide-management-technologies/,Hearings and Testimony,CDR_CCUS
"Congressional Testimony of Steven E. Winberg, Assistant Secretary for Fossil Energy U.S. Department of Energy", 2020,United States,"This testimony before the U.S. Senate Committee on Energy and Natural Resources hearing to examine the challenges and opportunities for large-scale carbon management focuses on the Department of Energy’s efforts lower the cost of CCUS, fund the development of new carbon capture and storage technologies and demonstration projects (including through the Clean Coal and Carbon Management Program), and explore innovative ways to convert carbon dioxide and “carbon ore” into value-added products.",https://cdrlaw.org/resources/congressional-testimony-of-steven-e-winberg-assistant-secretary-for-fossil-energy-u-s-department-of-energy/,Hearings and Testimony,CDR_CCUS
Buildings as a Global Carbon Sink? A Reality Check on Feasibility Limits, 2020,Building with Biomass,,https://cdrlaw.org/resources/buildings-as-a-global-carbon-sink-a-reality-check-on-feasibility-limits/,News/Commentary,CDR_CCUS
H.R. 5864 – New Energy Frontiers Through Carbon Innovation Act of 2020, 2020,United States,,https://cdrlaw.org/resources/h-r-5864-new-energy-frontiers-through-carbon-innovation-act-of-2020/,Proposed Legislation,CDR_CCUS
"H.R. 5883 – To amend the Internal Revenue Code of 1986 to provide for an increased credit for carbon oxide sequestration for direct air capture facilities, and for other purposes.", 2020,United States,This bill would make permanent the Section 45Q tax credit for carbon capture and sequestration systems installed at power plants and other industrial facilities. The bill would also increase a tax credit for direct air capture of carbon emissions.,https://cdrlaw.org/resources/h-r-5883-to-amend-the-internal-revenue-code-of-1986-to-provide-for-an-increased-credit-for-carbon-oxide-sequestration-for-direct-air-capture-facilities-and-for-other-purposes/,Proposed Legislation,CDR_CCUS
"Congressional Testimony of Dr Laurel Harmon, LanzaTech Inc.", 2020,United States,"This testimony before the U.S. House of Representatives Subcommittee on Environment and Climate Change on “Clearing the Air: Legislation to Promote Carbon Capture, Utilization and Storage” shares the experience of a private company developing and commercializing an industrial carbon capture and utilization (CCU) technology and how the proposed USE IT Act legislation will drive further development.  ",https://cdrlaw.org/resources/congressional-testimony-of-dr-laurel-harmon-lanzatech-inc/,Hearings and Testimony,CDR_CCUS
S.2284 – Climate Action Rebate Act of 2019, 2019,United States,"This bill places a price of $15 per metric ton of carbon dioxide that increases by $15 each year and increases by $30 if emissions targets are not met in a given year, with direct rebates provided for CCUS and direct air capture (DAC) projects and 5% of the revenue going to energy innovation and R&D in technology such as DAC.",https://cdrlaw.org/resources/s-2284-climate-action-rebate-act-of-2019/,Proposed Legislation,CDR_CCUS
S.1201 – EFFECT Act of 2019, 2019,,"This bill directs the Department of Energy (DOE) to replace its existing fossil energy research and development technology programs with new programs. Under the new programs, DOE must research and develop fossil fuel technology for carbon capture, utilization, storage, or removal.DOE must establish a coal and natural gas technology program to ensure the continued use of domestic coal and natural gas resources through the development of technologies. The technologies must significantly improve the efficiency, effectiveness, costs, and environmental performance of coal and natural gas use.In addition, DOE must establish a research, development, and demonstration carbon storage program and a large-scale carbon sequestration demonstration program. DOE may establish an integrated storage program.DOE must also establish a carbon utilization program to identify and assess novel uses for carbon, carbon capture technologies for industrial systems, and alternative uses for coal.Finally, DOE must establish a program to develop technologies and strategies for removing carbon dioxide from the atmosphere on a large scale. The program must include air capture technology prizes provided under a competition as well as grants for centers that test direct air capture and storage technologies.",https://cdrlaw.org/resources/s-1201-effect-act-of-2019/,Proposed Legislation,CDR_CCUS
HeidelbergCement Pledge, 2019,,The company has a stated goal for carbon neutral concrete by “2050 at the latest” and seeks to do so by continuing to develop new technologies for carbon sequestration and use in the cement-making process.,https://cdrlaw.org/resources/heidelbergcement-pledge/,Declaration,CDR_CCUS
S.407 – Carbon Capture Modernization Act, 2019,United States,This bill modifies 26 U.S.C. 48A to make CCUS retrofits to coal plants eligible for the qualifying advanced coal project tax credit. The bill also:,https://cdrlaw.org/resources/s-407-carbon-capture-modernization-act/,Proposed Legislation,CDR_CCUS
Carbon Capture and Sequestration Protocol under the Low Carbon Fuel Standard, 2018,United States,,https://cdrlaw.org/resources/carbon-capture-and-sequestration-protocol-under-the-low-carbon-fuel-standard/,Regulation,CDR_CCUS
S.3179 – Carbon Capture Utilization and Storage Act, 2016,Enhanced Oil Recovery,This bill amends the Internal Revenue Code to extend and modify the tax credit for carbon dioxide (CO2) sequestration. The bill modifies the credit to:,https://cdrlaw.org/resources/s-3179-carbon-capture-utilization-and-storage-act/,Proposed Legislation,CDR_CCUS
Mich. Admin. Code. r. 299.9204, 2016,United States,,https://cdrlaw.org/resources/mich-admin-code-r-299-9204/,Regulation,CDR_CCUS
Mont. Admin. R. 36.22.1707, 2015,United States,This is the implementing regulation for Mont. Code Ann. § 15-6-158 on certifying CCS equipment for reduced tax rate.,https://cdrlaw.org/resources/mont-admin-r-36-22-1707/,Regulation,CDR_CCUS
CCSReg Project Model Legislation, 2011,United States,This is model legislation to establish a comprehensive system for the safe and effective transport and geologic sequestration of carbon dioxide.,https://cdrlaw.org/resources/ccsreg-project-model-legislation/,Proposed Legislation,CDR_CCUS
220 Ill. Comp. Stat. Ann. § 75/1 et seq., 2011,"Enhanced Oil Recovery,United States","The Carbon Dioxide Transportation and Sequestration Act regulates the construction of pipelines to transport carbon dioxide to sequestration and enhanced oil recovery, as “critical to the promotion and use of Illinois coal.”",https://cdrlaw.org/resources/220-ill-comp-stat-ann-%c2%a7-75-1-et-seq/,Enacted Legislation,CDR_CCUS
Ind. Code § 14-39-1-1 et seq, 2011,"Enhanced Oil Recovery,United States",,https://cdrlaw.org/resources/ind-code-%c2%a7-14-39-1-1-et-seq/,Enacted Legislation,CDR_CCUS
34 Tex. Admin. Code § 3.326, 2010,United States,,https://cdrlaw.org/resources/34-tex-admin-code-%c2%a7-3-326/,Regulation,CDR_CCUS
Directive 2009/31/EC of the European Parliament and of the Council, 2009,European Union,"This Directive sets out the legislative framework concerning the environmentally safe storage of carbon dioxide, in order to contribute to the fight against climate change. The Directive applies to the geological storage of carbon dioxide in the territory of the European Union Member States as well as their exclusive economic zones and continental shelves. Provisions are laid down as regards selection of storage sites and exploration permits, storage permits as well as conditions for the operation of those sites.",https://cdrlaw.org/resources/directive-2009-31-ec-of-the-european-parliament-and-of-the-council/,Enacted Legislation,CDR_CCUS
Amendments to Directive 2003/87/EC of the European Parliament and of the Council, 2008,"EU Emissions Trading Scheme,European Union",,https://cdrlaw.org/resources/directive-of-the-european-parliament-amending-directive-2003-87-ec/,Enacted Legislation,CDR_CCUS
Ky. Rev. Stat. Ann. § 154.27-010 et seq., 2007,United States,,https://cdrlaw.org/resources/ky-rev-stat-ann-%c2%a7-154-27-010-et-seq/,Enacted Legislation,CDR_CCUS
Mont. Code Ann. § 15-6-158, 2007,United States,,https://cdrlaw.org/resources/mont-code-ann-%c2%a7-15-6-158/,Enacted Legislation,CDR_CCUS
"Okla. Stat. tit. 27A, § 3-4-101 et seq.", 2001,United States,,https://cdrlaw.org/resources/h-b-1194-oklahoma-carbon-sequestration-enhancement-act/,Enacted Legislation,CDR_CCUS
S. 2836 – America’s Revegetation and Carbon Sequestration Act of 2021, 2021,"Building with Biomass,United States","This bill would support management practices that increase resilience and soil carbon sequestration on US forests and rangelands. The bill would create a national revegetation strategy driven by regional revegetation task forces over the next 10 years, with special attention to bolstering nursery and seed capacity. It would also incentivize practices to reduce wildfire risk through a voluntary carbon credit system and support expanded RDD&D on innovative wood products like cross laminated timber (CLT) and biochar. The bill also includes provisions to improve Tree Equity in urban areas and to create a pilot program that restores ecosystems on abandoned mine lands.",https://cdrlaw.org/resources/s-2836-americas-revegetation-and-carbon-sequestration-act-of-2021/,Proposed Legislation,CDR_CCUS
S. 2118 – Clean Energy for America Act, 2021,"Enhanced Oil Recovery,United States","This bill would modify the Section 45Q carbon dioxide sequestration tax credit by authorizing the direct payment of credits and removing minimum carbon thresholds to incentivize smaller projects. The bill would also make enhanced oil recovery ineligible after 2026, increase the credit amount for DAC facilities to $175 per ton for secure geologic storage and $150 for utilization, set a minimum wage requirement based on DOL standards, and require that 15% of total labor for constructing a credit-eligible facility be performed by qualified apprentices.",https://cdrlaw.org/resources/s-2118-clean-energy-for-america-act/,Proposed Legislation,CDR_CCUS
S. 1608 – Sustainable Aviation Fuel Act, 2021,United States,"This bill would support markets for aviation fuels with low carbon intensity through tax credits and DOD procurement. Qualified feedstocks include carbon sourced from DAC, BECCS, and other non-petrochemical origins.",https://cdrlaw.org/resources/s-1608-sustainable-aviation-fuel-act/,Proposed Legislation,CDR_CCUS
BP Pledge, 2020,,"BP has pledged to reach net-zero emissions across all operations by 2050 and plans to use carbon capture, utilization, and storage (CCUS) and natural climate sinks in the effort to achieve this goal.",https://cdrlaw.org/resources/bp-pledge/,Declaration,CDR_CCUS
Proposed CLEAN Future Act, 2020,United States,"The House Energy and Commerce Committee’s CLEAN Future Act is draft legislation featuring specific details on a national program, including a climate target aiming for net-zero emissions by 2050. This approach seeks to align the federal government and states in pursuit of this economy-wide goal with a cross-sector, unified program.The bill would create a Department of Energy (DOE) carbon capture and utilization technology commercialization program to improve the efficiency, effectiveness, cost, and environmental performance of fossil fuel-fired facilities, and a direct air capture technology prize program.",https://cdrlaw.org/resources/proposed-clean-future-act/,Proposed Legislation,CDR_CCUS
"Congressional Testimony of John Noel, Greenpeace USA", 2020,"Enhanced Oil Recovery,United States","This testimony before the U.S. House of Representatives Subcommittee on Environment and Climate Change on “Clearing the Air: Legislation to Promote Carbon Capture, Utilization and Storage” argues that the USEIT Act is primarily designed to streamline the permitting of enhanced oil production infrastructure and that the legislation does not provide any guardrails to ensure it will not lead to decades of increased oil production.",https://cdrlaw.org/resources/congressional-testimony-of-john-noel-greenpeace-usa/,Hearings and Testimony,CDR_CCUS
"Congressional Testimony of Lee Anderson, Utility Workers Union of America, AFL-CIO", 2020,"Enhanced Oil Recovery,United States","This testimony before the U.S. House of Representatives Subcommittee on Environment and Climate Change on “Clearing the Air: Legislation to Promote Carbon Capture, Utilization and Storage” discusses how the USE IT Act will impact utility workers across the country. The testimony identifies how the Act can drive the need to create thousands of jobs to construct and manage the entire CO2 transportation infrastructure, and how the Act may change the economics of existing coal-fired power plants to enable the continued employment of workers at these facilities.",https://cdrlaw.org/resources/congressional-testimony-of-lee-anderson-utility-workers-union-of-america-afl-cio/,Hearings and Testimony,CDR_CCUS
"Congressional Testimony of Jason Begger, Wyoming Infrastructure Authority", 2020,"Enhanced Oil Recovery,United States","This testimony before the U.S. House of Representatives Subcommittee on Environment and Climate Change on “Clearing the Air: Legislation to Promote Carbon Capture, Utilization and Storage” identifies the USE IT Act as a critical funding mechanism for CO2 utilization technologies and a mechanism to accelerate the construction of CO2 pipeline infrastructure.",https://cdrlaw.org/resources/congressional-testimony-of-jason-begger-wyoming-infrastructure-authority/,Hearings and Testimony,CDR_CCUS
S.383 – Utilizing Significant Emissions with Innovative Technologies Act or the “USE IT Act”, 2019,Clean Air Act,The USE IT Act would:,https://cdrlaw.org/resources/utilizing-significant-emissions-with-innovative-technologies-act-or-the-use-it-act/,Proposed Legislation,CDR_CCUS
Repsol Pledge, 2019,,"Repsol announced a commitment to net-zero emissions by 2050 and said it would use carbon capture technologies, reforestation, and natural climate sinks if it was unable to reach its goals via other means.",https://cdrlaw.org/resources/repsol-pledge/,Declaration,CDR_CCUS
S. 6599 – Climate Leadership and Community Protect Act, 2019,United States,"This bill enacts the New York State Climate Leadership and Community Protection Act (CLCPA) that sets a statewide target of net zero greenhouse gas emissions by 2050. Specifically, the bill requires an 85% emissions reduction by 2050, with any remaining emissions to be either directly reduced or offset through projects that remove greenhouse gases from the atmosphere. The bill lists several different projects that could be implemented to accomplish this goal, which are natural carbon sinks including but not limited to afforestation, reforestation or wetlands restoration, the restoration and sustainable management of coastal wetlands and sub-tidal habitats, and carbon capture and sequestration.The offsets must be verifiable and permanent and represent new, additional reductions in emissions that would not otherwise have occurred. The only emissions that are eligible to be offset are those where it is technologically infeasible to reduce the emissions by other means. Electric generators are not eligible for offsets. The offset program must be designed in a manner that does not disproportionately harm disadvantaged communities. Moreover, to the greatest extent practicable, offset projects must be located within 25 miles of the source they’re offsetting, ensuring that the benefits of offsetting emissions will be locally realized.",https://cdrlaw.org/resources/s-6599-climate-leadership-and-community-protect-act/,Enacted Legislation,CDR_CCUS
H.R.1892 – Bipartisan Budget Act of 2018, 2018,"Enhanced Oil Recovery,United States",The Bipartisan Budget Act of 2018 adopted provisions from the FUTURE Act (introduced in 2017) that increase and extend the 45Q tax credit for carbon capture projects that store or use carbon dioxide. The credit increases the value of geologically stored carbon dioxide to $35 per metric ton when stored through enhanced oil recovery and $50 per metric ton for saline and other forms of geologic storage. The credit also provides a $35 per ton credit for carbon dioxide that is captured and beneficially used in an application beyond enhanced oil recovery. The 45Q tax credit applies to direct air capture and carbon monoxide capture projects as well.,https://cdrlaw.org/resources/%c2%a745q-credit-for-carbon-oxide-sequestration/,Enacted Legislation,CDR_CCUS
"A Clean Planet for all: A European strategic long-term vision for a prosperous, modern, competitive and climate neutral economy", 2018,European Union,"This policy document outlines a vision of the economic and societal transformations required in the European Union, engaging all sectors of the economy and society, to achieve the transition to net-zero greenhouse gas emissions by 2050. The document considers the role of carbon sinks and carbon capture and storage in the EU’s policy framework.",https://cdrlaw.org/resources/a-clean-planet-for-all-a-european-strategic-long-term-vision-for-a-prosperous-modern-competitive-and-climate-neutral-economy/,Policy Proposal,CDR_CCUS
S.1535 – FUTURE Act, 2017,,"This bill amends the Internal Revenue Code to extend and modify the tax credit for carbon dioxide sequestration. The bill modifies the credit to apply it to carbon oxide sequestration. (Carbon oxide refers to any of the three oxides of carbon: carbon dioxide, carbon monoxide, and carbon suboxide.)The bill also:",https://cdrlaw.org/resources/s-1535-future-act/,Proposed Legislation,CDR_CCUS
H. 6011 – The Geoengineering Act of 2017, 2017,United States,"This bill would provide that a person seeking to engage in geoengineering activities would require a license from the director of the Department of Environmental Management. Ocean fertilization, “ocean-cooling pipes,” and carbon dioxide capture and sequestration are defined as geoengineering activities.",https://cdrlaw.org/resources/h-6011-the-geoengineering-act-of-2017/,Proposed Legislation,CDR_CCUS
26 U.S. Code § 45Q, 2008,"Enhanced Oil Recovery,United States","26 USC §45Q creates a tax credit for the sequestration of carbon dioxide captured from an industrial source. In 2018, through the Bipartisan Budget Act, Congress eliminated the volume cap and raised the value of the tax credits so that they will reach $50 and $35, respectively, for sequestered carbon and carbon used in enhanced oil recovery, and thereafter be adjusted for inflation. The law allows certain new industrial or direct air capture facilities to qualify for the credit if construction begins before January 1, 2024;*See also the following resources (1) H.R.1892 – Bipartisan Budget Act of 2018 and (2) S.1535- FUTURE Act",https://cdrlaw.org/resources/26-u-s-code-%c2%a7%e2%80%af45q/,Enacted Legislation,CDR_CCUS
S. 2377 – Energy Infrastructure Act, 2021,United States,"This bill would establish and fund a grant program for the procurement and utilization of carbon-derived products. State and local governments and public utilities would be eligible. This bill would also establish and fund a carbon capture technology program for front-end engineering, funding the design of carbon transport infrastructure and a loan program to support its development. The legislation would expand large-scale carbon storage commercialization and address feasibility, site characterization, permitting, and construction. Also included: funding for the EPA to permit Class VI wells and award grants for their permitting at the state level, funding for the development of four regional DAC hubs, and a DAC technology prize for pre-commercial and commercial projects.",https://cdrlaw.org/resources/s-2377-energy-infrastructure-act/,Proposed Legislation,CDR_CCUS
H.R. 5865 – CCUS Innovation Act, 2020,United States,"This bill would promote the development and deployment of CCUS technologies, including by making related pipelines and direct air capture projects eligible for guaranteed loan support from the U.S. Department of Energy. The bill also seeks to ensure quicker permitting of carbon pipeline infrastructure and would establish a 10-year program within the U.S. Environmental Protection Agency to award funds for direct air capture research.",https://cdrlaw.org/resources/h-r-5865-ccus-innovation-act/,Proposed Legislation,CDR_CCUS
2020 Democratic Party Platform (Draft), 2020,United States,"This is the United States Democratic Party’s draft policy platform that includes sections on the potential role of carbon dioxide removal/negative emissions technologies to combat climate change. The draft’s climate section contains a number of provisions pertinent to carbon dioxide removal/negative emissions approaches, including the following:",https://cdrlaw.org/resources/2020-democratic-party-platform-draft/,Policy Proposal,CDR_CCUS
Proposed regulation establishing the framework for achieving climate neutrality and amending Regulation (EU) 2018/1999 (European Climate Law), 2020,European Union,,https://cdrlaw.org/resources/proposed-regulation-establishing-the-framework-for-achieving-climate-neutrality-and-amending-regulation-eu-2018-1999-european-climate-law/,Proposed Legislation,CDR_CCUS
"Congressional Testimony of Shannon Angielski, Carbon Utilization Research Council", 2020,"Enhanced Oil Recovery,United States","This testimony before the U.S. Senate Committee on Energy and Natural Resources hearing to examine the challenges and opportunities for large-scale carbon management focuses on technology innovation efforts in the power sector, particularly with respect to carbon capture, utilization and storage (CCUS), and how those efforts can be leveraged with other industrial uses of fossil fuels.",https://cdrlaw.org/resources/congressional-testimony-of-shannon-angielski-of-the-carbon-utilization-research-council/,Hearings and Testimony,CDR_CCUS
Bad Request,,,,https://cdrlaw.org/resources/h-8062-the-geoengineering-act/,,CDR_CCUS
"Full Committee Hearing on “Cleaning the Air: Legislation to Promote Carbon Capture, Utilization and Storage”", 2020,"Enhanced Oil Recovery,United States","This hearing considered H.R. 1166, the Utilizing Significant Emissions with Innovative Technologies (USE IT) Act.",https://cdrlaw.org/resources/full-committee-hearing-on-cleaning-the-air-legislation-to-promote-carbon-capture-utilization-and-storage/,Hearings and Testimony,CDR_CCUS
"Congressional Testimony of Jason Albritton, The Nature Conservancy", 2020,United States,"This testimony before the U.S. House of Representatives Subcommittee on Environment and Climate Change on “Clearing the Air: Legislation to Promote Carbon Capture, Utilization and Storage” identifies how the USE IT Act helps facilitate the development of emerging direct air capture and carbon utilization technologies by creating a prize program and directing the Environmental Protection Agency to launch a new research and development effort.",https://cdrlaw.org/resources/congressional-testimony-of-jason-albritton-the-nature-conservancy/,Hearings and Testimony,CDR_CCUS
"Congressional Testimony of Sasha Mackler, Bipartisan Policy Center", 2020,"Enhanced Oil Recovery,United States","This testimony before the U.S. House of Representatives Subcommittee on Environment and Climate Change on “Clearing the Air: Legislation to Promote Carbon Capture, Utilization and Storage” identifies how the USE IT Act can accelerate the development and deployment of technologies for capturing, transporting, utilizing, and sequestering carbon dioxide. This includes both technologies that can capture and remove carbon dioxide from the exhaust gases of large emissions sources, such as power plants and factories, as well as technologies that can capture and remove carbon dioxide from the ambient air.",https://cdrlaw.org/resources/congressional-testimony-of-sasha-mackler-bipartisan-policy-center-2/,Hearings and Testimony,CDR_CCUS
Capturing Opportunity: Law and Policy Solutions to Accelerate Engineered Carbon Removal in California, 2020,United States,,https://cdrlaw.org/resources/capturing-opportunity-law-and-policy-solutions-to-accelerate-engineered-carbon-removal-in-california/,Policy Proposal,CDR_CCUS
H.R.5435 – American Public Lands and Waters Climate Solution Act of 2019, 2019,United States,"This bill requires the National Academies of Sciences to conduct a study into how the Executive branch of the U.S. government can meet the net emission reduction targets enumerated in the bill by increasing carbon capture, storage, utilization, and sequestration on public lands through both nature-based and technological solutions and by increasing carbon storage of federally managed wetlands, mangroves, tidal marshes, and seagrass meadows. The National Academies of Sciences shall not consider ocean iron fertilization or climate engineering actions that involve increasing carbon storage of ocean ecosystems through technological means.",https://cdrlaw.org/resources/h-r-5435-american-public-lands-and-waters-climate-solution-act-of-2019/,Proposed Legislation,CDR_CCUS
Declaration on Nordic Carbon Neutrality, 2019,Paris Agreement,"A declaration by Finland, Iceland, Sweden, Norway and Denmark to catalyze the development of technologies that reduce greenhouse gas emissions, remove carbon dioxide from the atmosphere, and to maintain or enhance natural carbon sinks. ",https://cdrlaw.org/resources/declaration-on-nordic-carbon-neutrality/,Declaration,CDR_CCUS
Sweden’s Carbon Removal Strategy: The pathway to a climate- positive future – strategy and action plan for achieving negative greenhouse gas emissions after 2045, 2020,Building with Biomass,,https://cdrlaw.org/resources/swedens-carbon-removal-strategy-the-pathway-to-a-climate-positive-future-strategy-and-action-plan-for-achieving-negative-greenhouse-gas-emissions-after-2045/,Policy Proposal,CDR_CCUS
H.R. 4447 – Clean Economy Jobs and Innovation Act, 2020,United States,"The Clean Economy and Jobs Innovation Act combines several bills that aim to boost green infrastructure and energy efficiency in buildings, and invest in renewable technologies, energy sources, and workforce training. The bill amends the Energy Policy Act of 2005 to require the Department of Energy (DOE) to establish a research, development, and demonstration program to remove carbon dioxide from the atmosphere on a large scale. It also requires the DOE to develop and improve accounting frameworks and tools to accurately measure carbon removal and sequestration methods. The bill creates a Direct Air Capture Prize program that provides financial rewards in a competitive setting for each ton of qualified carbon dioxide captured by a DAC facility. The bill creates a Direct Air Capture Test Center, which directs the DOE to award grants for the operating of test centers to provide unique testing capabilities for innovative DAC and storage technologies.On CCS, the bill directs the DOE to conduct a RD&D program to facilitate the commercial adoption of carbon capture technologies and to support pilot programs at coal and natural gas power plants and industrial facilities. It creates a Carbon Capture Pilot Test Centers program that shall award grants to eligible entities to provide unique testing for innovative carbon capture technologies for power and industrial systems.",https://cdrlaw.org/resources/h-r-4447-clean-economy-jobs-and-innovation-act/,Proposed Legislation,CDR_CCUS
H.R.3607 – Fossil Energy Research and Development Act of 2019, 2019,United States,"This bill expands Department of Energy (DOE) research, development, and demonstration programs for fossil energy. Specifically, the bill authorizes DOE programs regarding:",https://cdrlaw.org/resources/h-r-3607-fossil-energy-research-and-development-act-of-2019/,Proposed Legislation,CDR_CCUS
