Country,ID of policy or measure,Name of policy or measure,Description,Geographical_coverage,"Single policy or measure, or group of measures",Report_ID,Policies or measures included in the group,Type of policy instrument,Status of implementation,"Policy impacting EU ETS, ESD or LULUCF emissions",Sector(s) affected,Objective(s),Quantified objective,GHG(s) affected,Total GHG emissions reductions in 2025 (kt CO2eq/y),Total GHG emissions reductions in 2030 (kt CO2eq/y),Total GHG emissions reductions in 2035 (kt CO2eq/y),Total GHG emissions reductions in 2040 (kt CO2eq/y),Entities responsible for implementing the policy (type),Entities responsible for implementing the policy,Implementation period start,Implementation period finish,Is the policy or measure related to a Union policy?,Related Union Policy,Does_the_PaM_relate_to_Air_Pollution_policy?,Projection scenario in which the policy or measure is included,Indicator used to monitor and evaluate progress over time,Contribution to the LTS,General comment,Main reference,URL to main reference,GHG emissions reductions EU ETS in 2025 (kt CO2eq/y),GHG emissions reductions ESR in 2025 (kt CO2eq/y),GHG emissions reductions LULUCF in 2025 (kt CO2eq/y),GHG emissions reductions EU ETS in 2030 (kt CO2eq/y),GHG emissions reductions ESD in 2030 (kt CO2eq/y),GHG emissions reductions LULUCF in 2030 (kt CO2eq/y),GHG emissions reductions EU ETS in 2035 (kt CO2eq/y),GHG emissions reductions ESD in 2035 (kt CO2eq/y),GHG emissions reductions LULUCF in 2035 (kt CO2eq/y),GHG emissions reductions EU ETS in 2040 (kt CO2eq/y),GHG emissions reductions ESD in 2040 (kt CO2eq/y),GHG emissions reductions LULUCF in 2040 (kt CO2eq/y),Explanation of the basis for the mitigation estimates,Factors affected by the PaM,Reference for ex-ante assessment,Web link for ex-ante assessment,Year for which reduction applies (ex post),Average ex post emission reduction (kt CO2eq/y),Reference for ex-post assessment,Web link for ex-post assessment,Projected gross costs (EUR per tonne CO2eq reduced/ sequestered),Projected absolute costs per year (EUR),Year projected cost has been calculated for,Price reference year (projected costs),Projected benefits (EUR per tonne CO2eq reduced/ sequestered),Projected absolute benefit per year (EUR),Projected net costs (EUR per tonne CO2eq reduced/ sequestered),Projected net cost per year (EUR),Description of projected cost estimates,Description of non-GHG mitigation projected benefits,Reference for projected costs and benefits,Web link for projected costs and benefits,Realised gross costs (EUR per tonne CO2eq reduced/ sequestered),Realised absolute costs per year (EUR),Year realised cost has been calculated for,Price reference year (realised costs),Realised benefits (EUR per tonne CO2eq reduced/ sequestered),Realised absolute benefit per year (EUR),Realised net costs (EUR per tonne CO2eq reduced/ sequestered),Realised net cost per year (EUR),Description of realised cost estimates,Description of non-GHG mitigation realized benefits,Reference for realised costs and benefits,Web link for realised costs and benefits
Iceland,106,Energy transition in manufacturing industries,"There are many opportunities for energy transition from fossil fuel to renewable fuel in different sectors of manufacturing industries, such as food production and industries linked to fisheries. In 2021 the Energy fund provided grants and many of the projects that were funded were for manufacturing industries",National,Single,606,Single PaM,Economic; Planning; Voluntary/negotiated agreements,Adopted,ESD/ESR,Energy Consumption,Energy Consumption: Efficiency improvement of appliances,No quantified objective.,CO2,,,,,National government,National government: Ministry of Industries and Innovation,2022,,Yes,Effort Sharing Regulation EU 2018/842Â and implementing decision on ESR Annual Emission AllocationsÂ  ,Yes,No information,,"This is not applicable to Iceland, see EEA Joint Committee Decision 269/2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,201,Incentives for low- and zero emission vehicles,"It will be ensured that tax subsidies for sustainable vehicles, which have been in place since 2012, will continue and be increased for as long as it is deemed necessary. According to a law amendment on VAT which was approved in parliament in December 2019, concessions for electric- and hydrogen cars have been extended until the end of 2023. Maximum sums and amount limits have also been increased. In addition, an amendment was made for concessions for hybrid vehicles; their amount limit was increased but the maximum concession will be reduced in steps until the end of 2022. Simultaneously provisions were legislated that businesses are permitted to depreciate/write off purchases of sustainable vehicles fully in the purchasing year. VAT will furthermore be cancelled completely but for a limited number of public group vehicles (such as buses) which are only powered by methane, methanol, electricity or hydrogen. A temporary authorization to fully refund the VAT on home charging stations for electric vehicles, as well as the labor to install them, has been put in place. An exception from VAT will be given to car rentals for the rental of sustainable cars and there will be exceptions up to a certain limit for light and heavy electric- or hydrogen motor vehicles. Furthermore, an exception from VAT has been given for bikes and electric bikes up to a certain limit. The concessions are temporary and will be reviewed based on their results.",National,Single,606,Single PaM,Fiscal,Implemented,ESD/ESR,Transport,"Transport: Electric road transport,Transport: Improved transport infrastructure,Transport: Low carbon fuels","The quantified objective of policies 201, 202, 203 and 204 combined is a 51 kt CO2e reduction in emissions in 2030, compared to a baseline scenario in the Climate Action Plan.",CO2,,,,,National government,National government: Ministry of Finance and Economic Affairs (FJR),2019,,Yes,Directive on the Promotion of Clean and Energy Efficient Road Transport Vehicles 2009/33/ECÂ  ,Yes,With existing measures,,"This is not applicable to Iceland, see EEA Joint Committee Decision 269/2019.",,,,,,,,,,,,,,,,,,"REPORT ON POLICIES, MEASURES AND PROJECTIONS Projections of Greenhouse Gas emissions in Iceland to 2040, 2022 edition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,202,Infrastructure for low- and zero emission vehicles,"Several projects have already been started and it will be ensured that the further development and improvement of infrastructure will continue. A project management team for energy change has been established to ensure the coordination between the projects and plans which relate to energy change. Græna orkan has developed a proposal for the prioritization of projects regarding infrastructure to support energy change. In November 2019 investment grants were allocated to the installation of quick charging stations. The new stations are thrice as powerful as the previous most powerful stations which were in place in the country and should support the unobstructed travel of electric vehicles across the country. Quick charging stations which have received grants from the government herewith increase by 40% around the country. Projects to increase the number of charging stations at hotels and other accommodations around the country have also begun and more such grants will be advertised in 2020. Furthermore, investment grants will be advertised in parallel for companies which run vehicle fleets, whether passenger cars or buses. In all instances it is expected that the grant applicants will provide a counter-contribution and Orkusjóður will supervise the grants. The purposeful support of improved infrastructure will continue and other sources of energy than electricity will also be considered. Græna orkan and other stakeholders will be consulted as appropriate.",National,Single,606,Single PaM,Economic,Implemented,ESD/ESR,Transport,"Transport: Electric road transport,Transport: Improved transport infrastructure,Transport: Low carbon fuels","The quantified objective of policies 201, 202, 203 and 204 combined is a 51 kt CO2e reduction in emissions in 2030, compared to a baseline scenario in the Climate Action Plan.",CO2; N2O,,,,,National government,National government: Ministry of Industries and Innovation (ANR),2019,,Yes,Directive on the Promotion of Clean and Energy Efficient Road Transport Vehicles 2009/33/ECÂ  ,Yes,With existing measures,,"This is not applicable to Iceland, see EEA Joint Committee Decision 269/2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,203,Legislation and regulations for clean energy transition,"This policy will ensure that laws and regulations support energy change, whether they are occurring on land, at ports or at airports. The Minister for the Environment and Natural Resources has made two alterations to the regulations on new builds; now it is mandatory to plan space for charging stations for electric vehicles at all new builds in the country. A regulation for apartment buildings came into effect in June 2018 and a regulation for commercial buildings came into effect in December of the same year to ensure that charging stations for electric vehicles have been planned in all new builds in the future. The Ministry of Social Affairs has been working on simplifying the charging of electric vehicles at older apartment buildings. A bill on changing the laws on charging stations for electric vehicles at older apartment buildings was approved in Parliament in June 2020. At the Ministry of Industries and Innovation work on implementing the European Directive on infrastructure for energy change is underway. It contains the countries‘ duties to develop policies on supporting the building of infrastructure for sustainable energy sources and fuels, including charging stations for electric vehicles and power stations for vehicles which use natural gas or hydrogen. A part of the Directive is setting technical requirements so that, for example charging stations fulfil coordinated standards. More work on implementing other Directives concerning energy change and climate change is underway at the Ministry. It will, furthermore, be monitored whether laws and regulations need to be altered or updated further to facilitate energy change in Iceland.",National,Single,606,Single PaM,Planning; Regulatory,Implemented,ESD/ESR,Energy Consumption; Transport,"Energy Consumption: Efficiency improvement in industrial end-use sectors,Energy Consumption: Efficiency improvement in services/tertiary sector,Energy Consumption: Efficiency improvement of appliances,Energy Consumption: Efficiency improvements of buildings,Transport: Electric road transport,Transport: Improved transport infrastructure,Transport: Low carbon fuels,Transport: Reduce emissions from international air or maritime transport","The quantified objective of policies 201, 202, 203 and 204 combined is a 51 kt CO2e reduction in emissions in 2030, compared to a baseline scenario in the Climate Action Plan.",CO2; N2O,,,,,National government,National government: Ministry of Industries and Innovation (ANR),2019,,Yes,Effort Sharing Regulation EU 2018/842Â and implementing decision on ESR Annual Emission AllocationsÂ ;Directive on the deployment of alternativeÂ fuelsÂ infrastructure 2014/94/EUÂ  ,Yes,With existing measures,,"This is not applicable to Iceland, see EEA Joint Committee Decision 269/2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,204,Ban on new registration of diesel and gasoline vehicles after 2030,"The new registration of passenger cars which are fueled by diesel or gas will be banned from 2030. The supply of clean energy vehicles and other more sustainable vehicles has increased rapidly in a short space of time. This policy is based on a principle and how it develops will depend on technological advancement. It is, therefore, expected that there will be some exceptions to the rule, for example due to regional perspectives or for the vehicles of first-responders. The policy also only affects new registrations of diesel- or gas fueled vehicles, it will still be permitted to drive, buy and sell used diesel- or gas fueled vehicles. The ban only applies to the import of new vehicles which are only fueled by fossil fuels. Hereby a significant step is taken in the direction of phasing out fossil fueled vehicles completely. Various other countries, including the UK, France and Norway, have set targets for banning the new registration of fossil fueled vehicles at a certain time.The signal this policy sends to car manufacturers is very important because plans to produce specific car types is are made in the long term. It is, therefore, important that governments all around the world set targets for when markets for fossil fueled cars will either shrink significantly or close entirely. Grænvangur, a collaboration platform on climate issues and green solutions between businesses and government has launched the project Hreinn, 2 and 3, which focuses on increasing the number of clean energy vehicles at Icelandic companies, many of which operate a large fleet. It is expected that the new registration of fossil fueled passenger cars will be stopped by the year 2023.",National,Single,606,Single PaM,Regulatory,Planned,ESD/ESR,Transport,Transport: Low carbon fuels,"Ban new registration of passenger cars fueled by diesel or gas from 2030. The quantified objective of policies 201, 202, 203 and 204 combined is a 51 kt CO2e reduction in emissions in 2030, compared to a baseline scenario in the Climate Action Plan.",CO2,,,,,National government,National government: Ministry of Transport and Local Government (SRN),2030,,Yes,Effort Sharing Regulation EU 2018/842Â and implementing decision on ESR Annual Emission AllocationsÂ  ,Yes,With additional measures,,"This is not applicable to Iceland, see EEA Joint Committee Decision 269/2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,205,Infrastructure for active mobility,"The policy is focused on improving infrastructure to encourage more people to use active modes of transportation, such as biking and walking. Biking- and walking paths will be improved systematically to increase the share of active modes of transportation and enable more people to choose that option. Support for building paths will be increased, both in urban areas and to connect urban areas. In the capital area the transportation agreement between the government and six municipalities, which was signed in September 2019, will be followed. The agreement includes (among others)  a substantial effort to build new biking paths in the capital area (approximately 70-100 km of paths), as well as building new walking bridges and underpasses. Simultaneously work on bike paths between urban areas will be continued according to the Transport Plan (Samgönguáætlun) 2020-2034 and in cooperation with and with matched funds from the relevant municipalities. Possibilities to build bike lanes alongside highways will also be explored. .The options to set up charging stations for electric bikes will also be analysed in connection to an analysis on the possibilities for fuel change in the tourism sector.",National,Single,606,Single PaM,Fiscal; Planning,Implemented,ESD/ESR,Transport,"Transport: Improved behavior,Transport: Improved transport infrastructure,Transport: Modal shift to public transport or non-motorized transport","The quantified objective of policies 205 and 209 combined is a 10 kt CO2e reduction in emissions in 2030, compared to a baseline scenario in the Climate Action Plan.",CO2,,,,,National government,National government: Ministry of Finance and Economic Affairs (FJR),2019,,Yes,Effort Sharing Regulation EU 2018/842Â and implementing decision on ESR Annual Emission AllocationsÂ  ,Yes,With existing measures,,"This is not applicable to Iceland, see EEA Joint Committee Decision 269/2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,206,Encouraging public transport,"Public transport will be promoted and supported in all Iceland. The government and six municipalities in the capital signed an agreement in September 2019 with an ambitious plan to build up transport infrastructure and public transportation in the capital area in the next 15 years. The agreement contains the most extensive transportation construction plan in the history of Iceland. The goal is to greatly boost public transport. improve transport for all modes of transportation, reduce greenhouse gas emissions to reach the government´s and municipalities´ climate goals, reduce traffic jams etc. Borgarlínan is a part of the agreement and the preparations for construction are currently underway. Borgarlínan will be a new transportation system with separate priority lanes at traffic lights and frequent trips. In addition, the public transport will use domestic renewable fuels, such as electricity, hydrogen or methane. The construction of 42 km of Borgarlínan routes, reaching most of the capital area, has been agreed upon.  Public transport in rural areas will furthermore be organised holistically, including looking into supporting public transport in order for it to be a competitive option versus a single person driving a car.",National,Single,606,Single PaM,Economic; Planning; Regulatory,Implemented,ESD/ESR,Transport,"Transport: Improved behavior,Transport: Improved transport infrastructure,Transport: Modal shift to public transport or non-motorized transport","16 kt CO2e reduction in emissions from road transport in 2030, compared to a baseline scenario in the Climate Action Plan",CO2,,,,,National government,National government: Ministry of Finance and Economic Affairs (FJR),2019,,Yes,Effort Sharing Regulation EU 2018/842Â and implementing decision on ESR Annual Emission AllocationsÂ  ,Yes,With existing measures,,"This is not applicable to Iceland, see EEA Joint Committee Decision 269/2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,207,Low emission vehicles in government and state enterprises,"Government/state enterprises will be obligated to purchase sustainable vehicles when renewing their vehicle fleet. All government/state owned cars will be sustainable as a rule, the only exceptions being if safety- or usage purposes require something else. State entities will, therefore, not purchase new fossil fueled cars as a main rule from 2020. The Icelandic government approved this policy in 2019. Central public procurement (Ríkiskaup) and a so-called car committee are responsible for implementing the new procurement procedures, and the organisations which intend to purchase vehicles are bound to participate in common tenders where the tender descriptions ensure that sustainable and economical cars will be purchased such as electric, hydrogen or methane fueled vehicles. The state runs approximately 800 vehicles of various shapes and sizes. This measure aims to transform the vehicle fleet to reduce greenhouse gas emissions, as well as to pave the way for a ban on the new registration of gas- and diesel cars (see measure 204). TThe government approved in November 2018 that all ministerial cars would be electric, and this transition is already underway. Approximately half of the ministerial cars are now fully or partly electric and according to the current plans all ministerial cars will be fully electric before the end of 2022.",National,Single,606,Single PaM,Fiscal; Planning; Regulatory,Implemented,ESD/ESR,Transport,"Transport: Electric road transport,Transport: Low carbon fuels","900 t CO2e reduction in emissions from ships road transport in 2030, compared to a baseline scenario in the Climate Action Plan.",CO2,,,,,National government,National government: Ministry of Finance and Economic Affairs (FJR),2019,,Yes,Effort Sharing Regulation EU 2018/842Â and implementing decision on ESR Annual Emission AllocationsÂ  ,Yes,With existing measures,,"This is not applicable to Iceland, see EEA Joint Committee Decision 269/2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,208,Energy transition of ferries,"Achieve an energy change in ferries which are in regular operation and which are categorized as a part of the national highway system. Energy sources in ferries which are in regular operation will be switched out for more sustainable non-fossil fueled options where technological development allows it. There are five ferries currently in operation in Iceland, three of those are state owned. 1. Herjólfur , the Westman Island ferry. The new Herjólfur is a hybrid and it is expected that the ship will sail completely on electricity from the Icelandic coast to the Westman Islands. The first trip running completely on electricity was undertaken on the 1st of January 2020. 2. Sævar, the ferry to Hrísey. The ferry will be renewed as an electric ferry. It is expected that the design process can begin late in 2024. 3. Sæfari, the ferry to Grímsey. When the ferry needs to be renewed alternative energy sources than fossil fuels will be considered. Two ferries are privately owned. 4. The ferry in Mjóifjörður. This is a small ferry which the owner is interested in electrifying. 5. Baldur, the ferry in Breiðarfjörður. This is a ferry owned by the company Eimskip/Sæferðir. The ferry trips across Breiðafjörður are supported by government funding 9 months of the year, but during the summer time Baldur sails under market conditions. When the next description for tender for the sailing of the ferry will be made, energy change will be encouraged.",National,Single,606,Single PaM,Fiscal; Planning,Implemented,ESD/ESR,Transport,Transport: Low carbon fuels,"4 kt CO2e reduction in emissions from ferries in 2030, compared to a baseline scenario in the Climate Action Plan",CO2,,,,,National government,National government: Ministry of Transport and Local Government (SRN),2020,,Yes,Effort Sharing Regulation EU 2018/842Â and implementing decision on ESR Annual Emission AllocationsÂ  ,Yes,With existing measures,,"This is not applicable to Iceland, see EEA Joint Committee Decision 269/2019.",,,,,5.6,,,6.5,,,6.5,,,6.5,,,,"REPORT ON POLICIES, MEASURES AND PROJECTIONS Projections of Greenhouse Gas emissions in Iceland to 2040, 2022 edition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,209,Incentives for active mobility,"Temporary tax subsidies which encourage people to use active modes of transportation, such as biking and walking, will be used to change people´s commuting behavior. The goal is to increase the share of active modes of transportation and enable more people to choose that option. Laws have already been updated and VAT on all bikes, electric bikes and electric scooters has been canceled. The changes went through on January 1st 2020. The updated law states that all types of bikes should be subsidized if they will promote increased outdoor activity, improve public health and reduce road transport. The main goal is, however, to promote biking as a mode of transportation to reduce GHG emissions from road transport. Furthermore, since 2014 transport supplements to employees have been tax-free up to a certain limit if public or active modes of transportation are used.",National,Single,606,Single PaM,Economic; Fiscal; Information; Planning,Implemented,ESD/ESR,Transport,"Transport: Improved behavior,Transport: Improved transport infrastructure,Transport: Modal shift to public transport or non-motorized transport","The quantified objective of policies 205 and 209 combined is a 10 kt CO2e reduction in emissions in 2030, compared to a baseline scenario in the Climate Action Plan.",CO2,,,,,National government,National government: Ministry of Finance and Economic Affairs (FJR),2020,,Yes,Effort Sharing Regulation EU 2018/842Â and implementing decision on ESR Annual Emission AllocationsÂ  ,Yes,With existing measures,,"This is not applicable to Iceland, see EEA Joint Committee Decision 269/2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,210,Energy transition in heavy transport,"Decrease GHG emissions from heavy goods transportation by accelerating energy change in that sector. GHG emissions per heavy vehicle (over 3,5 tonnes) are multiple times more than per passenger vehicle and they drive proportionately more. In the year 2018, approximately 15% of road transport emissions were caused by heavy goods transportation. Each additional sustainable vehicle is therefore significant. The main obstacles to energy change in heavy goods transportation are a lack of fuel supply and supply of longer distance vehicles, a lack of infrastructure and consequently a lack of demand for sustainable vehicles. It will be the role of a project management team on energy change to consult with stakeholders and get recommendations on which energy change projects should be the main focus to accelerate the switch to clean energy or sustainable fuels in heavy goods transport. The project management team will continue to work with the proposals made by Græna orkan in February 2020. The project management team will then put forward their suggestions on priority projects, including heavy goods transportation, for the years 2021-2023 by the 1st of December 2020. There are various ways to support progress in heavy goods transportation, such as tax exemptions, support for start-up projects or companies (pilot-projects), research grants, contributions to fuel production, infrastructure or direct equipment purchasing.",National,Single,606,Single PaM,Fiscal; Planning,Adopted,ESD/ESR,Transport,"Transport: Efficiency improvements of vehicles,Transport: Low carbon fuels","Transitioning 15-25% of heavy transport vehicles to clean fuels in 2030 and achieving a corresponding 14 kt CO2e reduction in emissions from heavy transport in 2030, compared to a baseline scenario in the Climate Action Plan.",CO2,,,,,National government,National government: Ministry of Industries and Innovation (ANR),,,Yes,Effort Sharing Regulation EU 2018/842Â and implementing decision on ESR Annual Emission AllocationsÂ  ,Yes,With existing measures,,"This is not applicable to Iceland, see EEA Joint Committee Decision 269/2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,211,Low emission rental cars,"The adoption of sustainable rental cars will be accelerated systematically in cooperation with car rental companies. Car rentals are responsible for the purchasing of 40% of new cars in Iceland, the highest share in the world. In 2018 approximately 60% of travellers rented a car during their visit to Iceland. According to an analysis by Íslensk NýOrka, which was conducted during Iceland´s presidency of the Nordic Council of Ministers (Norræna ráðherranefndin) in 2019, most car rental companies have a strong interest in adopting clean energy cars in their operations. There are, however, various obstacles to this development. This measure‘s primary aim is to analyse the main obstacles and opportunities to accelerate energy change in the car fleets of car rental companies through a comprehensive needs- and costs analysis. The measure is connected to measure 201 on concessions for climate friendly vehicles, because with the changes which took effect at the beginning of 2020 to accelerate energy change in road transport, renting out sustainable cars became exempt from VAT turnover. The measure is also connected to measure 202 on infrastructure for climate friendly vehicles, as a special project to install charging stations at accommodations around the country has already begun.",National,Single,606,Single PaM,Economic; Fiscal; Planning,Adopted,ESD/ESR,Transport,"Transport: Efficiency improvements of vehicles,Transport: Electric road transport,Transport: Improved transport infrastructure,Transport: Low carbon fuels","Transitioning 30-50% of rental cars to sustainable fuels in 2030 and achieving a corresponding 28-46 kt CO2e reduction in emissions from rental cars in 2030, compared to a baseline scenario in the Climate Action Plan.",CO2,,,,,National government,National government: Ministry of Industries and Innovation (ANR),,,Yes,Effort Sharing Regulation EU 2018/842Â and implementing decision on ESR Annual Emission AllocationsÂ  ,Yes,With existing measures,,"This is not applicable to Iceland, see EEA Joint Committee Decision 269/2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,212,Energy transition of state-owned vessels,"The use of fossil fuels in state owned ships other than ferries will be systematically reduced and ways to make them more sustainable will be evaluated. The possibilities for energy change in the patrol ship Þór, from the Icelandic Coast Guards, are already being analysed. The share of sustainable fuels, such as bio diesel will also be increased. Furthermore, a decision has been taken on building a new marine research ship and the tender for its build is currently being prepared. An emphasis was put on saving energy and limiting the environmental impact in the design process. Other energy saving methods in ships will also be used, such as using LED lighting and the cooling water for the diesel engine for heating. It is also assumed that the ship will be equipped with engines which can be powered not only by fossil-fuels, but also by bio fuels and possibly methanol. It will, however, be decided through the development process of a four-speed engine of the size required by the ship, whether it will be possible to equip it with such an engine. Land electricity will furthermore be used at harbor. It is expected that heat exchangers will be set up at the ships home harbor in order for the ship to be able to be heated with water from district heating. The measure is split between the Ministry of Justice and the Ministry of Industries and Innovation.",National,Single,606,Single PaM,Fiscal; Planning,Planned,ESD/ESR,Transport,Transport: Demand management/reduction,No quantified objective.,CO2,,,,,National government,National government: Ministry of Industries and Innovation (ANR),2022,,Yes,Effort Sharing Regulation EU 2018/842Â and implementing decision on ESR Annual Emission AllocationsÂ  ,Yes,With existing measures,,"This is not applicable to Iceland, see EEA Joint Committee Decision 269/2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,301,Regulation on F-gases,"This measure has been expanded since the first Climate Action Plan (2018) and has become a separate measure. The goal was the implementation of EU Regulation No 517/2014 on F-gases with import quotas to reduce gradually the amount of F-gases coming to the country until 2036. The first regulation was adopted in December 2018 (Icelandic Regulation No 1279/2018) and repealed in 2020 with Icelandic Regulation No 1045/2020 which applies a quicker phase out of imported F-gases. Certain other provisions are made in the regulation which aim to further reduce F-gas emissions, such as limits on their marketing and use. Refilling big systems with F-gases which have a very high global warming potential (maximum 2500 GWP) will be banned. This regulation is an important step in reducing GHG emissions from the use of F-gases in Iceland. The Environment Agency is in charge of monitoring the regulation in line with provisions in the chemical law. Restrictions will be further increased if deemed necessary.",National,Single,606,Single PaM,Economic; Regulatory,Implemented,ESD/ESR,Industrial Processes,"Industrial Processes: Improved control of manufacturing, fugitive and disposal emissions of fluorinated gases,Industrial Processes: Replacement of fluorinated gases by gases with a lower GWP value",Stepwise reduction of import of HFCs from 271 kt CO2e/year (baseline) to 32.5 kt CO2e/year in 2036 (=12% of baseline).,HFC; PFC,,,,,National government,National government: Ministry of the Environment;  Energy and Climate,2019,,Yes,F-gas Regulation 517/2014 ,No,With existing measures,,"This is not applicable to Iceland, see EEA Joint Committee Decision 269/2019.",,,,,49,,,61,,,27,,,1,,,,"REPORT ON POLICIES, MEASURES AND PROJECTIONS Projections of Greenhouse Gas emissions in Iceland to 2040, 2022 edition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,302,MAC Directive 2006/40/EC,Gradual ban on F-gases in passenger cars by enforcing the use of gases with a GWP lower than 150. It is implemented into Icelandic Regulation with Regulation No 822/2004.,National,Single,606,Single PaM,Regulatory,Implemented,ESD/ESR,Industrial Processes,"Industrial Processes: Improved control of manufacturing, fugitive and disposal emissions of fluorinated gases,Industrial Processes: Replacement of fluorinated gases by gases with a lower GWP value","From 1 January 2017, the use of fluorinated greenhouse gases with a GWP higher than 150 in all new vehicles put on the EU market will be totally banned.",HFC,,,,,National government,National government: Ministry of Infrastructure,2008,,Yes,Mobile Air-conditioningÂ systemÂ (MACs) Directive 2006/40/EC ,No,With existing measures,,"This is not applicable to Iceland, see EEA Joint Committee Decision 269/2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,303,BAT for Non-Ferrous Metals Industries,Operating permits for non-ferrous metals industries are required to take into account the Best Available Techniques (BAT) Reference Document (Art. 31(1) of the Directive 2010/75/EU on industrial emissions).,National,Single,606,Single PaM,Regulatory,Implemented,EU ETS,Industrial Processes,"Industrial Processes: Improved control of fugitive emissions from industrial processes,Industrial Processes: Installation of abatement technologies",No quantified objective.,CO2,,,,,National government,National government: Ministry of the Environment;  Energy and Climate,2010,,Yes,Industrial emissions Directive 2010/75/EU (Recast of IPPC Directive 2008/1/EC and Large Combustion Plant Directive 2001/80/EC) and its associated Best Available Technique Reference DocumentsÂ  ,Yes,With existing measures,,"This is not applicable to Iceland, see EEA Joint Committee Decision 269/2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,304,BAT for Manufacture of Glass,Operating permits for the manufacture of glass are required to take into account the Best Available Techniques (BAT) Reference Document (Art. 31(1) of the Directive 2010/75/EU on industrial emissions).,National,Single,606,Single PaM,Regulatory,Implemented,ESD/ESR,Industrial Processes,"Industrial Processes: Improved control of fugitive emissions from industrial processes,Industrial Processes: Installation of abatement technologies",No quantified objective.,CO2,,,,,National government,National government: Ministry of the Environment;  Energy and Climate,2010,,Yes,Industrial emissions Directive 2010/75/EU (Recast of IPPC Directive 2008/1/EC and Large Combustion Plant Directive 2001/80/EC) and its associated Best Available Technique Reference DocumentsÂ  ,Yes,With existing measures,,"This is not applicable to Iceland, see EEA Joint Committee Decision 269/2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,305,Taxation of F-gases,"The policy has been expanded since the first publication of the Climate Action Plan (2018) and has become a separate measure. The goal of this measure it to accelerate the process of phasing out F-gases by taxing imports of F-gases. The taxation was implemented into Icelandic legislation with Act on environmental and resource taxes in 2020. The tax is based on the polluter pays principle which stipulates that those who are responsible for pollution pay for the consequences of it. A similar approach is used in Iceland as has been used in Denmark, where a certain price is added per kilogram of F-gases for every tonne CO2e that it emits, up to a price ceiling of 10.000 ISK per kilogram. A taxation on F-gases can have a significant impact in a short span of time because more sustainable solutions are already available and it’s fairly simple technologically to phase out F-gases.",National,Single,606,Single PaM,Fiscal,Implemented,ESD/ESR,Industrial Processes,"Industrial Processes: Improved control of manufacturing, fugitive and disposal emissions of fluorinated gases,Industrial Processes: Replacement of fluorinated gases by gases with a lower GWP value","Reduction of amount of import of F gases, no quantified objective available.",HFC; PFC,,,,,National government,National government: Ministry of Finance and Economic Affairs,,,Yes,F-gas Regulation 517/2014 ,No,No information,,"This is not applicable to Iceland, see EEA Joint Committee Decision 269/2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
