Policy,Year,Country,Policy_Content,URL,Scope,Explanation,Agency,Source
Biden Administration Moves to Protect Country's Largest National Forest,2021,USA,"<p>The Department of Agriculture announced a new Southeast Alaska Sustainability Strategy to help support a diverse economy, enhance community resilience, and conserve natural resources, including by ending large-scale old growth timber sales on the Tongass National Forest.</p>
On July 15, 2021, the Department of Agriculture (USDA) announced a new Southeast Alaska Sustainability Strategy through which USDA will consult with Tribes and Alaska Native corporations, and engage partners and communities in a collaborative process to invest approximately $25 million in financial and technical resources in sustainable opportunities for economic growth and community well-being and identify priorities for future investments. USDA will also end large-scale old growth timber sales on the Tongass National Forest and will instead focus management resources to support forest restoration, recreation and resilience, including for climate, wildlife habit and watershed improvement. Small and micro old growth sales will still be offered for community consumption and cultural uses such as totem poles, canoes and tribal artisan use. USDA also announced that it will initiate a rulemaking this summer that will propose to restore 2001 Roadless Rule protections on the Tongass National Forest that were stripped by the previous administration.",https://climate.law.columbia.edu/content/biden-administration-moves-protect-countrys-largest-national-forest,National,Agency Announcement,USDA,Climate-Reregulation-Tracker
PHMSA Reminds Industry to Address Methane Leaks,2021,USA,"<p>The Pipeline Hazardous Materials Safety Administration issued an advisory bulletin underscoring to pipeline and pipeline facility operators their obligations to minimize methane emissions.</p>
On June 10, 2021, the  Pipeline Hazardous Materials Safety Administration issued an advisory bulletin underscoring to pipeline and pipeline facility operators their obligations to minimize methane emissions under the Protecting our Infrastructure of Pipelines and Enhancing Safety (PIPES) Act of 2020.  The PIPES Act directs pipeline operators to update their inspection and maintenance plans to address the elimination of hazardous leaks, and to minimize natural gas releases from pipeline facilities.",https://climate.law.columbia.edu/content/phmsa-reminds-industry-address-methane-leaks,National,Notice,"DOT,PHMSA",Climate-Reregulation-Tracker
Department of Energy Proposes Reversal of Energy Efficiency Rollbacks,2021,USA,"<p>The Department of Energy proposed reversing energy efficiency rollbacks issued by the prior administration for dishwashers and washing machines.</p>
On August 3, 2021, the Department of Energy (DOE) proposed revoking two energy efficiency rules issued by the prior administration.

On October 30, 2020, DOE established a new product class for standard residential dishwashers with a cycle time for the normal cycle of one hour or less from washing through drying under the Energy Policy and Conservation Act. On December 16, 2020, DOE similarly established separate product classes for certain washing machines under the Energy Policy and Conservation Act. Energy efficiency advocates expressed concern that the new classifications would allow appliances fitting into new product classes to avoid more stringent standards. The August 2021 proposal, if finalized, would revoke both rules and reinstate the prior product classes and applicable standards for dishwashers and washing machines.

 ",https://climate.law.columbia.edu/content/department-energy-proposes-reversal-energy-efficiency-rollbacks,National,Notice of Proposed Rulemaking,DOE,Climate-Reregulation-Tracker
EPA Proposes Strengthening Motor Vehicle Standards,2021,USA,"<p>The Environmental Protection Agency proposed new greenhouse gas standards for light-duty motor vehicles.</p>
On August 5, 2021, the Environmental Protection Agency (EPA) proposed new greenhouse gas standards for light-duty motor vehicles for model years 2023-26. TEPA proposes to increase the stringency of the standards from the average roughly 1.5 percent year-over-year stringency increase of existing standards--issued by the previous administration in 2020--to a nearly 10 percent proposed stringency increase in MY 2023, followed by a nearly 5 percent proposed stringency increase in each MY from 2024 through 2026.

Comments are due on September 27, 2021.

The White House simultaneously issued an executive order directing EPA to consider issuing standards for model years 2026-2030 consistent with the goal that 50 percent of all new passenger cars and light trucks sold in 2030 be zero-emission vehicles.",https://climate.law.columbia.edu/content/epa-proposes-strengthening-motor-vehicle-standards,National,Notice of Proposed Rulemaking,EPA,Climate-Reregulation-Tracker
White House Sets New Clean Car Goals,2021,USA,"<p>The White House issued an executive order setting a goal that 50 percent of all new passenger cars and light trucks sold in 2030 be zero-emission vehicles.</p>
On August 5, 2021, the White House issued an Executive Order on Strengthening American Leadership in Clean Cars and Trucks setting a goal that 50 percent of all new passenger cars and light trucks sold in 2030 be zero-emission vehicles. The Executive Order directs the Environmental Protection Agency and National Highway Traffic Safety Administration to begin rule making processes for motor vehicle emission and corporate average fuel economy standards consistent with that goal; and to consider issuing standards for heavy-duty vehicles for model year 2030 as well.",https://climate.law.columbia.edu/content/white-house-sets-new-clean-car-goals,National,Executive Order,White House,Climate-Reregulation-Tracker
Department of Energy Moves to Reinstate Lightbulb Rule,2021,USA,"<p>The Department of Energy proposed reinstating a rule to expand the types of light bulbs subject to energy efficiency standards under the Environmental Policy and Conservation Act.</p>
On August 10, 2021, the Department of Energy (DOE) proposed reinstating a rule to expand energy efficiency standards for light bulbs.

In January 2017 the DOE finalized regulations expanding the types of light bulbs subject to energy efficiency standards under the Environmental Policy and Conservation Act by redefining ""general service lamp"" and strengthened standards to phase out less-efficient incandescent light bulbs.  These regulations were scheduled to come into effect in January 2020. However, on September 5, 2019, DOE repealed the rule extending the energy efficiency standards to new classes of light bulbs. The August 2021 action proposes to reinstate the repealed rule.",https://climate.law.columbia.edu/content/department-energy-moves-reinstate-lightbulb-rule,National,Notice of Proposed Rulemaking,DOE,Climate-Reregulation-Tracker
Department of Energy Proposes Reversal of Heating Efficiency Rollback,2021,USA,"<p>The Department of Energy proposed to reinstate a previous interpretation of energy efficiency rules pertaining to residential furnaces and commercial water heaters.</p>
On August 17, 2021, The Department of Energy (DOE) proposed to reinstate a previous interpretation of energy efficiency rules pertaining to residential furnaces and commercial water heaters.

On January 14, 2021, the DOE issued a final rule that could block future administrations from making gas-fired water heaters, furnaces, and boilers more efficient. Many gas-fired water heaters, furnaces, and boilers currently allow a significant amount of heat to be wasted through venting, but some models use condensing technology to capture heat and prevent waste. In 2018 a number of industry groups petitioned DOE to define condensing and non-condensing equipment as separate categories with separate efficiency standards. The final rule defines non-condensing technology, which requires venting, as a performance-related ""feature"" under the Energy Policy and Conservation Act that cannot be eliminated through adoption of an energy conservation standard. By creating two separate classes -- one for models with condensing capabilities and one for models without such capabilities -- DOE limits future administrations' authority to require condensing equipment for all gas-fired water heaters, furnaces and boilers. The August 2021 proposal, if finalized, would reinstate the previous interpretation and therefore allow DOE to require condensing equipment for all such appliances.",https://climate.law.columbia.edu/content/department-energy-proposes-reversal-heating-efficiency-rollback,National,Notification of proposed interpretive rule,DOE,Climate-Reregulation-Tracker
HHS Establishes Office of Climate Change and Health Equity,2021,USA,"<p>The U.S. Department of Health and Human Services established an Office of Climate Change and Health Equity.&nbsp;</p>
On August 30, 2021, the U.S. Department of Health and Human Services established an Office of Climate Change and Health Equity in response to President Biden's Executive Order on Tackling the Climate Crisis at Home and Abroad. The new office is tasked with:

Identifying communities with disproportionate exposures to climate hazards and vulnerable populations.
	Addressing health disparities exacerbated by climate impacts to enhance community health resilience.
	Promoting and translating research on public health benefits of multi-sectoral climate actions.  
	Assisting with regulatory efforts to reduce greenhouse gas emissions and criteria air pollution throughout the health care sector, including participating suppliers and providers.
	Fostering innovation in climate adaptation and resilience for disadvantaged communities and vulnerable populations.
	Providing expertise and coordination to the White House, Secretary of Health and Human Services and federal agencies related to climate change and health equity deliverables and activities, including Executive Order implementation, and reporting on health adaptation actions under the United Nations Framework Convention on Climate Change.
	Promoting training opportunities to build the climate and health workforce and empower communities. 
	Exploring opportunities to partner with the philanthropic and private sectors to support innovative programming to address disparities and health sector transformation.
",https://climate.law.columbia.edu/content/hhs-establishes-office-climate-change-and-health-equity,National,Agency Announcement,HHS,Climate-Reregulation-Tracker
NHTSA Proposes More Stringent Fuel Economy Standards,2021,USA,"<p>The National Highway Traffic Safety Administration proposed more stringent corporate average fuel economy (CAFE) standards for passenger cars and light trucks for model years 2024–2026.</p>
On September 3, 2021, the National Highway Traffic Safety Administration, on behalf of the Department of Transportation, proposed revised corporate average fuel economy (CAFE) standards for passenger cars and light trucks for model years 2024–2026. This proposal continues NHTSA’s implementation of President Biden’s January 20, 2021 Executive order, “Protecting Public Health and the Environment and Restoring Science To Tackle the Climate Crisis.’’ In that order, President Biden directed that the 2020 “Safer Affordable Fuel-Efficient (SAFE) Vehicles Rule for Model Years 2021–2026 Passenger Cars and Light Trucks’’ be immediately reviewed for consistency with public health, environmental, and other policy goals, and that the Secretary of Transportation consider suspending, revising, or rescinding the 2020 rule by July 2021. Following President Biden’s directive, NHTSA reviewed the 2020 rule under its authority to set CAFE standards and concluded that, consistent with NHTSA’s statutory mandate to improve energy conservation, the 2020 standards should be revised so that they increase at a rate of 8 percent year over year for each model year from 2024 through 2026, for both passenger cars and light trucks. This proposed rule would revise the CAFE standards accordingly and would also make minor changes to fuel economy reporting requirements.

NHTSA’s proposal follows EPA’s August 5, 2021 proposal of strengthened greenhouse gas standards for light-duty motor vehicles for model years 2023–26, which likewise implemented President Biden’s January 2021 order.

Comments on NHTSA's proposed rule should be submitted on or before October 26, 2021.  ",https://climate.law.columbia.edu/content/nhtsa-proposes-more-stringent-fuel-economy-standards,National,Notice of Proposed Rulemaking,NHTSA,Climate-Reregulation-Tracker
DOE Releases Solar Futures Study,2021,USA,"<p>The Department of Energy released its <em>Solar Future Study</em>, outlining the significant role of solar energy in decarbonizing the nation’s power grid.</p>
On September 8, 2021, the Department of Energy released its Solar Futures Study, which explores the role of solar energy in transitioning to a carbon-free electric grid in accordance with President Biden’s decarbonization goals. The study was produced by the U.S. Department of Energy Solar Energy Technologies Office (SETO) and the National Renewable Energy Laboratory (NREL). Among other key findings, DOE concluded that solar energy could account for as much as 42% of the nation’s electricity supply by 2035 and 45% by 2050. The study is broken into eight chapters: Introduction and Summary of Results; Solar Futures Scenarios; Reliably Integrating More than a Terawatt of Solar onto the Grid; Understanding the Role of Solar Through the Lens of Equity; Synergies Between Solar and Storage; Technology Advances for Increased Solar Deployment; the Role of Solar by End-Use Sector; and Key Considerations for the Solar Supply Chain, Environment, Circular Economy, and Workforce.",https://climate.law.columbia.edu/content/doe-releases-solar-futures-study,National,Report,DOE,Climate-Reregulation-Tracker
Biden Administration Launches Government-Wide Effort to Cut Aviation Emissions,2021,USA,"<p>The Biden Administration launched a government-wide effort to reduce aviation emissions by 20% by 2030.</p>
On September 9, 2021, the White House announced a government-wide effort to cut aviation emissions by 20% by 2030. The White House’s announcement lists past and future actions by the Department of Energy, Department of Transportation, Department of Agriculture, Environmental Protection Agency, Federal Aviation Administration, Department of Defense, and National Aeronautics and Space Administration, all working towards this goal. Key actions include the launching of a Sustainable Aviation Fuel Grand Challenge among DOE, DOT, and USDA to increase the production of sustainable aviation fuels; collaboration between NASA and the FAA to accelerate technology maturation through the Sustainable Flight National Partnership; and the funding of research and development across numerous agencies. The Biden Administration also plans to release an aviation climate action plan in the coming months.",https://climate.law.columbia.edu/content/biden-administration-launches-government-wide-effort-cut-aviation-emissions,National,White House Announcement,"White House,DOE,DOT,USDA,EPA,FAA,DOD,NASA",Climate-Reregulation-Tracker
"DOE, DOT, and USDA Launch Sustainable Aviation Fuel Grand Challenge",2021,USA,"<p>The Department of Energy, Department of Transportation, and Department of Agriculture launched a Sustainable Aviation Fuel Grand Challenge to reduce costs, enhance sustainability, and expand production and use of sustainable aviation fuels.</p>
On September 9, 2021, the Department of Energy, Department of Transportation, and Department of Agriculture released a Memorandum of Understanding (MOU) formally launching an inter-agency Sustainable Aviation Fuel Grand Challenge. The purpose of the Grand Challenge is “to reduce the cost, enhance the sustainability, and expand the production and use of Sustainable Aviation Fuel (SAF) that achieves a minimum of 50% reduction in lifecycle greenhouse gas (GHG) compared to conventional fuel to meet a goal of supplying sufficient SAF to meet 100% of aviation fuel demand by 2050.” The MOU also intends to support a just transition of the energy industry through job creation. Among the inter-agency actions listed in the MOU, the signing agencies agreed to establish a joint, executive-level team to develop a framework for implementing the MOU. This Grand Challenge is one part of the Biden Administration’s goal of increasing the sustainability of American aviation.",https://climate.law.columbia.edu/content/doe-dot-and-usda-launch-sustainable-aviation-fuel-grand-challenge,National,Agency Memorandum,"DOE,DOT,USDA",Climate-Reregulation-Tracker
USDA Invests $464 Million in Renewable Energy Infrastructure in Rural Communities,2021,USA,"<p>The Department of Agriculture announced that it is investing $464 million to build and improve renewable energy infrastructure in rural communities.</p>
On September 9, 2021, the Department of Agriculture announced that it is investing $464 million to build and improve renewable energy infrastructure while helping rural communities, agricultural producers, and businesses lower energy costs. USDA’s investments will support projects in 48 states and Puerto Rico. $335 million of this funding derives from the Electric Loan Program, and the remaining $129 million derives from the Rural Energy for America Program.",https://climate.law.columbia.edu/content/usda-invests-464-million-renewable-energy-infrastructure-rural-communities,National,Agency Announcement,USDA,Climate-Reregulation-Tracker
DOE Launches Local Energy Action Program,2021,USA,"<p>The Department of Energy launched its Local Energy Action Program (Communities LEAP), designed to help environmental justice and fossil fuel communities develop locally-driven energy plans.</p>
On September 15, 2021, the Department of Energy launched its Local Energy Action Program (Communities LEAP). The Communities LEAP initiative is designed to help environmental justice communities and communities with historical ties to fossil fuel industries develop locally-driven energy plans to reduce local air pollution, increase energy resilience, lower utility costs and energy burdens, and create good-paying jobs. With an initial investment of $16 million, Communities LEAP will assist up to thirty-six low-income and energy-burdened communities to develop local energy action plans that focus on one or more of the following:

Creating pathways for large-scale clean energy project planning and infrastructure
	Evaluating the ability to use microgrids to increase community resilience
	Creating job opportunities in fossil fuel communities or those home to heavy industries
	Planning for clean transportation investments
	Improving building energy efficiency
	Enhancing investments in the nation’s clean energy supply chain and improving the energy performance and reducing the cost of industrial manufacturing
DOE also published a detailed opportunity announcement, which includes more information about eligible projects and how to apply for participation in the program. DOE is accepting comments to communitiesLEAPinfo@hq.doe.gov until October 12, 2021 to help guide the development of the initiative.",https://climate.law.columbia.edu/content/doe-launches-local-energy-action-program,National,Agency Announcement,DOE,Climate-Reregulation-Tracker
EPA Finalizes Rule Phasing Down Climate Super-Pollutant ,2021,USA,"<p>The Environmental Protection Agency finalizes a rule to phase down the powerful greenhouse gases hydrofluorocarbons.</p>
On September 23, 2021, the Environmental Protection Agency (EPA) finalized a rule to phase down the production and consumption of hydrofluorocarbons (HFCs) by 85% by 2036 through an allowance trading program. This rule was mandated by the American Innovation and Manufacturing Act, which was enacted in December 2020. It targets HFCs, which are primarily used in air conditioning and refrigeration, along with fire suppression, solvents, foam blowing, and aerosols. HFCs became widely used in air-conditioning and refrigeration equipment as substitutes for ozone-depleting substances, but they are powerful greenhouse gases.

This final rule follows a proposed rule that EPA issued on May 3, 2021. It is part of a larger, inter-governmental plan to catalyze reductions in HFCs.",https://climate.law.columbia.edu/content/epa-finalizes-rule-phasing-down-climate-super-pollutant,National,Final rule,EPA,Climate-Reregulation-Tracker
DOI Withdraws Trump-Era Fossil Fuel Valuation Rule,2021,USA,"<p>The Department of Interior withdrew the 2020 Valuation Reform and Civil Penalty Rule, which had been issued to promote domestic fossil fuel use and development.</p>
On September 28, 2021, the Department of Interior formally withdrew the 2020 Valuation Reform and Civil Penalty Rule. The 2020 rule had altered how the Office of Natural Resources Revenue values oil, gas, and coal produced on federal leases, and had been issued to promote domestic fossil fuel development and consumption. According to a DOI announcement, the withdrawal of the 2020 Valuation Rule will result in an estimated $64 million annual increase in royalty collections.",https://climate.law.columbia.edu/content/doi-withdraws-trump-era-fossil-fuel-valuation-rule,National,Final rule,DOI,Climate-Reregulation-Tracker
EPA Proposes Rule Requiring Companies to Capture and Destroy Byproduct Greenhouse Gas,2021,USA,"<p>The Environmental Protection Agency proposed a rule that would require companies to control, capture, and/or destroy HFC-23, which is generated as a byproduct during the manufacture of HCFCs.</p>
On September 29, 2021, the Environmental Protection Agency proposed a rule that would require manufacturing plants to control, capture, and/or destroy HFC-23. HFC-23 is a powerful greenhouse gas that is generated during the manufacture of certain class II ozone-depleting substances, including HCFC-22. According to EPA, HFC-23 has a substantially longer atmospheric lifetime and higher global warming potential than all other HFCs. This proposal follows a September 23, 2021 rule that established an allowance trading program for the phase out of all HFCs.

Under the proposed rule, HFC-23 must be captured and employed for a commercial use or destroyed using a technology approved by the Environmental Protection Agency, thereby ensuring it is not directly emitted. The rule would be narrow in scope, only affecting plants that continue to manufacture HCFCs under an exception to the HCFC phaseout under the Clean Air Act and its implementing regulations.

Comments on the proposed rule may be submitted to EPA until November 15, 2021.",https://climate.law.columbia.edu/content/epa-proposes-rule-requiring-companies-capture-and-destroy-byproduct-greenhouse-gas,National,Proposed Rule,EPA,Climate-Reregulation-Tracker
SEC Proposes Rule Requiring Disclosure of Proxy Voting Records Pertaining to Environmental and Climate Issues,2021,USA,"<p>The Security and Exchange Commission proposed amendments to Form N-XP that would require disclosure of proxy voting records on issues pertaining to the environment and climate.</p>
On September 29, 2021, the Security and Exchange Commission proposed amendments to Form N-XP under the Investment Company Act of 1940. The proposed amendments would require disclosure of proxy voting records on a variety of issues, including issues pertaining to the environment and climate, such as greenhouse gas emissions. The requirements would apply to mutual funds, exchange-traded funds, and certain other funds. If adopted, the proposed requirements would complete implementation of section 951 of the Dodd-Frank Wall Street Reform and Consumer Protection Act.",https://climate.law.columbia.edu/content/sec-proposes-rule-requiring-disclosure-proxy-voting-records-pertaining-environmental-and,National,Proposed Rule,SEC,Climate-Reregulation-Tracker
FEMA Updates Its National Flood Insurance Program to Account for Climate Risks,2021,USA,"<p>The Federal Emergency Management Agency published an update to its Flood Insurance Manual, titled Risk Rating 2.0: Equity in Action, which updates its National Flood Insurance Program to account for increasing flood trends.</p>
On October 1, 2021, the Federal Emergency Management Agency published an update to its Flood Insurance Manual, titled Risk Rating 2.0: Equity in Action, which updates its National Flood Insurance Program (NFIP) to account for increasing flood trends. This is the first update to its NFIP rating methodology since the 1970s, and it follows a 2017 Department of Homeland Security report which found significant inadequacies in FEMA’s previous methodology. The manual explains that “FEMA’s new rating methodology leverages catastrophe modeling, geospatial technology, and NFIP mapping data to estimate risk and determine the cost of flood insurance for each individual building.” FEMA released a report in April 2021 that documents the Risk Rating 2.0 methodology and data sources.",https://climate.law.columbia.edu/content/fema-updates-its-national-flood-insurance-program-account-climate-risks,National,Guidance,FEMA,Climate-Reregulation-Tracker
EPA Releases Draft Strategic Plan That Emphasizes Climate Goals,2021,USA,"<p>The Environmental Protection Agency released its<strong> </strong><em>FY 2022-2026 Strategic Plan Draft</em>, which emphasizes climate change mitigation and adaptation objectives.</p>
On October 1, 2021, the Environmental Protection Agency released its FY 2022-2026 Strategic Plan Draft. EPA’s strategic plans are meant to communicate the agency’s priorities and provide a roadmap for achieving its them. The first-listed goal in the Draft Plan is to “[t]ackle the climate crisis,” which the Draft Plan breaks down into three separate objectives:

Objective 1.1: Reduce Emissions that Cause Climate Change
	Objective 1.2: Accelerate Resilience and Adaptation to Climate Change Impacts
	Objective 1.3: Advance International and Subnational Climate Efforts
The Draft Plan includes information on strategies and long-term performance goals pertinent to each objective. It also emphasizes that “[p]olicies to tackle climate change must address the disproportionate vulnerability of low-income communities and communities of color while also dealing with the legacy pollution those communities continue to endure.” This Draft Plan contrasts with EPA’s Strategic Plan for Fiscal Years 2018-2022, which made no mention of climate change.

EPA is accepting comments on the Draft Plan until November 12, 2021, and expects to submit its final Plan to Congress in February 2022",https://climate.law.columbia.edu/content/epa-releases-draft-strategic-plan-emphasizes-climate-goals,National,Strategic Plan,EPA,Climate-Reregulation-Tracker
CEQ Begins Process of Restoring NEPA Review of Cumulative Impacts,2021,USA,"<p>The Council on Environmental Quality issued a notice of proposed rulemaking to restore NEPA requirements relevant to the review of climate impacts.</p>
On October 7, 2021, the Council on Environmental Quality published a notice of proposed rulemaking to restore regulations under the National Environmental Policy Act (NEPA) that the Trump administration had removed in a 2020 rule. The proposed rule—which is “Phase 1” of the agency’s plan to restore NEPA to its pre-2020 rigor—would make three major changes to current NEPA regulations. First, the proposed rule would require agencies to consider the “direct,” “indirect,” and “cumulative” impacts of proposed agency decisions. Review of cumulative impacts, which the Trump administration’s 2020 rule removed from the NEPA process, is frequently necessary to understand a project’s contribution to climate change. Cumulative impacts are also relevant to environmental justice analyses. In addition to restoring review of cumulative impacts, the proposed rule would also restore Federal agencies’ authority to develop and analyze project alternatives to minimize the environmental and public health costs of a proposed project. Finally, the proposed rule would allow Federal agencies to go beyond NEPA’s minimum requirements in their environmental review.

Comments may be submitted to CEQ until November 22, 2021.",https://climate.law.columbia.edu/content/ceq-begins-process-restoring-nepa-review-cumulative-impacts,National,Notice of Proposed Rulemaking,CEQ,Climate-Reregulation-Tracker
Twenty-Three Federal Agencies Release Climate Adaptation and Resiliency Plans,2021,USA,"<p>Over twenty federal agencies released plans detailing how they will adapt to climate change and increase resilience to climate change impacts.</p>
On October 7, 2021, twenty-three federal agencies released plans detailing how they will adapt to climate change and increase resilience to climate change impacts. The plans include a variety of resiliency and adaptation measures, including steps to develop a more resilient supply change, to enhance protections for workers and communities, and to increase climate literacy and leadership within Federal agencies. The climate adaptation and resilience plans were previously submitted to and reviewed by the National Climate Task Force, White House Council on Environmental Quality’s Federal Chief Sustainability Officer, and the Office of Management and Budget. President Biden mandated these plans in his January 27, 2021 Executive Order on Tackling the Climate Crisis at Home and Abroad.

The following agencies released adaptation and resiliency plans:

Department of Agriculture
	Department of Commerce
	Department of Defense
	Department of Education
	Department of Energy
	Department of Health and Human Services
	Department of Homeland Security
	Department of Housing and Urban Development
	Department of the Interior
	Department of Justice
	Department of Labor
	Department of State
	Department of the Treasury
	Department of Transportation
	Department of Veterans Affairs
	U.S. International Development Finance Corporation
	Environmental Protection Agency
	General Services Administration
	National Aeronautics and Space Administration
	Office of Personal Management
	Smithsonian Institution
	U.S. Agency for International Development
	U.S. Army Corps of Engineers
Members of the public may submit comments on the agency plans until November 6, 2021.",https://climate.law.columbia.edu/content/twenty-three-federal-agencies-release-climate-adaptation-and-resiliency-plans,National,Strategic Plan,"White House,CEQ",Climate-Reregulation-Tracker
EPA Grants Petitions to Restrict HFC Use,2021,USA,"<p>EPA grants ten petitions to restrict the use of HFCs in the refrigeration, air conditioning, aerosols, and foam sectors.&nbsp;</p>
On October 7, 2021, EPA granted ten petitions and partially granted an eleventh to restrict the use of hydrofluorocarbons (HFCs)--potent greenhouse gases--in the refrigeration, air conditioning, aerosols, and foam sectors. EPAs notice of determination to grant and partially grant these petitions begins a rulemaking process for each use of HFCs. Under the American Innovation and Manufacturing Act of 2020, EPA now has two years to issue final rules, each of which must take effect within one year of their publication. EPA's action follows several other actions phasing out HFCs, including a September 23, 2021 rule that created an allowance trading program for the greenhouse gas. 

 ",https://climate.law.columbia.edu/content/epa-grants-petitions-restrict-hfc-use,National,Notice of Determination,EPA,Climate-Reregulation-Tracker
FEMA Begins Process of Revising Floodplain Management Standards to Increase Climate Resiliency,2021,USA,"<p>The Federal Emergency Management Agency published a notice of request for information on how to increase community resiliency by aligning floodplain management standards with modern flood risk understanding and flood risk reduction approaches.</p>
On October 12, 2021, the Federal Emergency Management Agency (FEMA) published a notice of request for information on how to best revise the National Flood Insurance Program’s (NFIP) floodplain management standards to increase climate resiliency. NFIP’s floodplain management standards are designed to reduce future flood risk, but they have not been updated since 1976. FEMA is seeking to align the standards with modern understanding of flood risks and flood risk reduction approaches. This notice follows recent changes to NFIP’s rating methodology, which were also designed to integrate climate-driven changes in flood risk.

The public may submit comments to FEMA until December 13, 2021.",https://climate.law.columbia.edu/content/fema-begins-process-revising-floodplain-management-standards-increase-climate-resiliency,National,Request for Information,FEMA,Climate-Reregulation-Tracker
AHRQ Requests Public Input on Climate Change and Environmental Justice Issues in Healthcare,2021,USA,"<p>The Agency for Healthcare Research and Quality published a notice of request for information on how the agency can best address climate change and environmental justice in healthcare.</p>
On October 13, 2021, the Agency for Healthcare Research and Quality (AHRQ) published a notice of request for information on how AHRQ—an agency within the Department of Health and Human Services—can best address climate change through its core competencies of health systems research, practice improvement, and data & analytics. In particular, AHRQ is seeking information on “how the agency can best use its resources to help build the healthcare system’s resilience to climate threats, reduce the healthcare industry’s contribution to climate change while increasing sustainability, and address environmental justice issues in healthcare.”

The public may submit comments to AHRQ until December 13, 2021.",https://climate.law.columbia.edu/content/ahrq-requests-public-input-climate-change-and-environmental-justice-issues-healthcare,National,Request for Information,"AHRQ,HHS",Climate-Reregulation-Tracker
Federal Agencies Consider Incorporating Climate Impacts and Risks in Procurement Decisions,2021,USA,"<p>The Federal Acquisition Regulatory Council published an advance notice of proposed rulemaking to consider ways to minimize the risk of climate change in major federal agency procurements.</p>
On October 15, 2021, the Department of Defense, General Services Administration, and National Aeronautics and Space Administration—all members of the Federal Acquisition Regulatory Council—published an advance notice of proposed rulemaking to consider ways to minimize the risk of climate change in major Federal agency procurements. The notice contemplates amending the Federal Acquisition Regulation (“FAR”), which is the primary regulation for use by all executive agencies in their acquisition of supplies and services with appropriated funds. As explained in the published notice, President Biden’s Executive Order 14030 (“Climate-Related Financial Risk”) “directed the Federal Acquisition Regulatory Council, in consultation with the Chair of the Council on Environmental Quality and the heads of other agencies as appropriate, to consider amending the FAR to ensure that major Federal agency procurements minimize the risk of climate change, including requiring the social cost of greenhouse gas emissions to be considered in procurement decisions and, where appropriate and feasible, giving preference to bids and proposals from suppliers with a lower social cost of greenhouse gas emissions.”

The published notice seeks public input on several questions related to how to best incorporate climate impact and risk considerations into the federal agency procurement, including through the use of the social cost of greenhouse gases. The public may submit comments until December 14, 2021.",https://climate.law.columbia.edu/content/federal-agencies-consider-incorporating-climate-impacts-and-risks-procurement-decisions,National,Advance Notice of Proposed Rulemaking,"DOD,GSA,NASA",Climate-Reregulation-Tracker
DOL Proposes Removing Trump-Era Barriers to Consideration of Climate Change When Managing Pensions and Retirement Savings,2021,USA,"<p>The Department of Labor published a proposed rule under the Employee Retirement Income Security Act that would allow fiduciaries to consider climate change, along with other environmental, social, and governance factors, when they select investments and exercise shareholder rights.</p>
On October 14, 2021, the Department of Labor’s Employee Benefits Security Administration published a proposed amendment to the Investment Duties regulation that would allow fiduciaries to consider climate risks, along with other environmental, social, and governance factors, when they select investments and exercise shareholder rights. The rule, proposed under the Employee Retirement Income Security Act of 1974 (“ERISA”), would apply to the selection of investments and investment courses of action, including selecting qualified default investment alternatives, exercising shareholder rights, such as proxy voting, and the use of written proxy voting policies and guidelines. This proposed rule would remove regulatory barriers established in 2020 that prevent fiduciaries to consider the above-listed factors when acting under ERISA. Prior to the 2020 rule, the Department of Labor had relied on non-regulatory guidance to permit ERISA fiduciaries to conduct investment and shareholder rights activities in a manner that reflected climate change and other considerations.

Comments on the proposed rule may be submitted until December 13, 2021.",https://climate.law.columbia.edu/content/dol-proposes-removing-trump-era-barriers-consideration-climate-change-when-managing,National,Proposed Rule,"DoL,EBSA",Climate-Reregulation-Tracker
"The White House Publishes its ""Roadmap to Build a Climate Resilient Economy""",2021,USA,"<p>The White House published a new report, titled <em>A Roadmap to Build a Climate Resilient Economy</em>, which details the administration’s climate risk accountability framework and its implementation strategy to address climate-related financial risk.</p>
On October 14, 2021, the White House published a new report, titled A Roadmap to Build a Climate Resilient Economy, which details the administration’s climate risk accountability framework and its implementation strategy to address climate-related financial risk across all federal agencies. The report covers the administration’s government-wide strategy for measuring, disclosing, managing, and mitigating the risks that climate change poses to individuals, businesses, and the economy at large. The report focuses on the six lines of work outlined in President Biden’s Executive Order 14030 (“Climate-Related Financial Risk”):

Promoting the resilience of the U.S. financial system to climate-related financial risks;
	Incorporating climate-related financial risk into Federal financial management;
	Using Federal procurement to address climate-related financial risk;
	Protecting life savings and pensions from climate-related financial risk;
	Incorporating climate-related financial risk into Federal lending and underwriting; and
	Building resilient infrastructure and communities.
",https://climate.law.columbia.edu/content/white-house-publishes-its-roadmap-build-climate-resilient-economy,National,Report,White House,Climate-Reregulation-Tracker
